Ticker,12-1 Month Momentum %,14-Day RSI,3-1 Month Momentum %,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-GF-Value,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
ETR,40.05,49.52,16.15,,8,5.1,2.5,18.4,45.7,62.6,4.4,33.56,3.75,37.82,42.48,0.93,0.24,0.05,74.24,0.89,95.85,79.35,24.36,6.36,1.93,,0.43,3.1,27.42,13.01,,19.25,11.08,4.49,5.01,3.65,0.23,,,3.24,9.59,,15.39,5.13,52.15,46.27,2.15,,14.86,,20.02,2.11,18.06,14.05,1.85,2.68,,,,,,1.42,1.17,0.85,,,7.62,,,,2.17,0.59,2.85,4.8,3.89,12.17,,6.48,,,31.28,,,8,20807231060.0,Electric Utilities,Utilities
ETRN,45.17,33.67,,,,,,,,6.29,,27.54,4.83,29.18,30.13,0.34,0.21,0.02,12.42,0.68,16.55,57.85,62.28,6.19,4.54,,0.64,4.83,14.89,10.83,25.57,14.92,10.99,9.49,9.74,6.72,0.14,38.09,10.05,4.83,13.68,,,4.19,9.49,75.46,1.54,,31.98,,49.47,5.12,13.96,13.28,,3.83,,,,,10.06,1.31,6.21,,,,5.88,7.35,,1.01,65.37,0.68,3.97,11.67,8.58,26.63,,6.11,,,,,,5,4159305634.0,Oil & Gas Pipelines,Industrial Services
ETSY,,65.93,,1.8,,,,,,,15.7,70.03,,,68.78,2.33,1.89,0.44,58.98,2.39,,110.12,31.79,5.91,,,,,26.49,19.63,11.55,14.99,9.85,2.75,2.85,3.75,,24.55,10.43,,22.17,24.91,,3.43,102.41,70.96,,,9.17,,12.17,,29.89,29.14,,2.82,,,,,11.45,0.58,,,,,10.74,19.26,,1.08,,2.39,10.25,122.82,15.63,,,20.9,,8.47,94.74,,,6,7988516079.000001,Internet Retail,Retail Trade
ETWO,,39.66,,,,,,,,,,22.63,,,35.87,,0.48,0.13,2.96,1.03,,34.11,65.56,,0.74,,,,,,50.88,10.26,8.66,3.03,3.01,,0.48,5.9,4,,14.23,,,,5.18,49.48,,,,,,0.63,,,,1.49,,,,,25.08,0.57,,,,,14.83,,,,,1.03,,,,,,,,0.65,,,,,1691047228.0,Packaged Software,Technology Services
EURN,,14.5,,,4.3,43.8,18.1,8.3,,,5.8,6.72,66.73,,11.3,2.27,0.12,0.02,9.14,1.29,19.96,69.36,108.03,1.58,2.18,,2.99,66.74,3.33,2.95,,10.53,6.9,3.98,4.46,30.03,0.3,,,75.32,4.82,22.75,,,17.16,44.03,3.27,,120.71,,41.12,1.84,1.68,4.81,0.23,2.02,,,,,,0.53,0.61,0.72,,,3.31,1.76,0.19,1.32,1.87,1.22,31.88,41.45,40.67,67.66,,11.97,,54.56,6.62,,,7,3162310760.913043,Marine Shipping,Transportation
EVCM,8.58,56.85,4.21,1,,,,46.3,,17.83,,51.75,,17.02,54.78,1.9,0.93,0.19,12.2,1.81,,13.75,26.01,5.04,0.69,,,,223.74,25.21,32.8,,,3.62,3.82,0.45,0.53,11.58,3.64,,20.33,,,4.13,11.51,66.41,0.54,,,,4.15,2.87,,,,3.23,,,,,27.89,1.06,,,,,22.22,95.4,,,,1.81,,136.6,0.86,,,2.68,,3.67,,,,,1793036575.0000002,Packaged Software,Technology Services
EVEX,,69.11,7.67,,,,,,,,,62.38,,,69.01,,5.11,,,5.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.02,,,,,,,,,,,,,9.06,8.72,,,,,8.56,5.21,,,,,,,,,,,,,2374025603.0,Aerospace & Defense,Electronic Technology
EVGO,61.49,46.86,16.07,,,,,,,,110.7,36.47,,153.66,44.59,0.57,1.5,1.79,6.09,2.19,,22.48,70.03,,,,,,,,,,,1.7,2.62,,,,,,,,28.16,42.26,14.4,9.67,,,,,,,,,,2.73,,,,,,0.42,,,,,,,,,,2.19,,,,,,,,,,,,,1178798244.0000002,Specialty Stores,Retail Trade
EVH,,32.26,,,8.5,,57.2,,,2.3,17.5,40.41,,,35.24,1.03,0.18,0.15,11.38,1.04,,9.39,60.74,10.29,0.61,,,,,29.97,16.88,11.22,9.38,0.65,0.78,,0.42,4.45,8.36,,11.43,,,18.82,45.56,15.96,,,,,,1.26,,20.73,,0.53,,,,,11.85,0.25,,,,,9.66,,,1.79,,1.04,,,,,,,,,,,,1,2967005566.0,Miscellaneous Commercial Services,Commercial Services
EVO,,48.02,28.53,,12.6,,,,,,10.7,31.23,,,42.57,0.75,1.13,0.81,4.49,2.09,18.26,53.02,53.2,,0.49,,,,,,,,36.8,1.86,2.11,,0.49,,,,286.41,23.33,,9.93,10.88,13.7,,,,,,1.59,,,,1.98,,,,,,0.41,,0.28,,,,,,5.68,2.3,1.99,,,,,,,,,119.45,,,7,4270653341.1357794,Pharmaceuticals: Major,Health Technology
