Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
ABM,21.64,60.06,2,8.4,5.9,40.8,24.6,,11.1,66.66,2,35.31,61.51,3.1,0.05,0.04,54.5,1.44,,,58.62,2.69,0.76,,0.28,1.64,11.74,9.19,13.72,11.8,9.54,0.57,0.58,8.52,0.37,4.23,10.15,1.65,14.76,26.18,,2.09,50.8,,4.81,,3.04,,4.88,1.86,14.27,17.36,1.08,0.43,,0.86,0.82,,10.22,,1.1,,,8.75,9.44,0.87,0.94,,1.44,5.04,65.99,10.75,13.69,,7.32,,2.48,27.81,,,10,2657328642.9999995,Miscellaneous Commercial Services,Commercial Services
ABNB,18.18,35.09,,38.3,,,,,8,44.36,,,37.44,3.2,0.71,4.95,115.44,1.41,,29.97,7.3,1.12,0.28,,,,33.2,32.35,15.01,20.85,16.85,5.94,6.23,3.01,0.3,41.38,5.95,,25.36,,,11.88,165.82,82.59,20.75,,46.11,,15.21,9.15,15.71,15.71,,7.21,,,,,17.37,2.66,,,18.59,17.3,13.07,,,10.14,1.41,21.22,720.92,19.41,63.33,,55.65,,3.85,,,,2,92399740712.0,Other Consumer Services,Consumer Services
ABT,,61.4,0.7,6.3,12.3,6.8,6.7,,5.8,64.34,3.62,,63.17,5.24,0.52,0.49,112.1,1.68,135.1,83.18,58.61,1.42,0.38,,0.48,1.94,28.3,19.43,35.61,21.69,18.73,4.81,4.94,3.53,0.54,13.88,2.9,1.98,24.06,12.95,8.41,6.41,106.5,55.24,10.7,,13.65,,15.92,4.96,35.36,25.19,2.19,4.81,,0.8,1.64,,34.63,5.17,1.14,,,24.79,45.5,2.59,1.9,23.85,1.18,7.63,64.74,12.05,14.52,,10.37,,3.14,40.91,,,10,176555322492.0,Medical Specialties,Health Technology
ACA,18.19,55,,6.9,,13.2,4.1,,5.9,67.78,0.23,8.41,58.73,3.11,0.24,0.15,87.36,2.31,71.3,47.91,58.17,1.84,0.29,,0.07,0.23,22.78,12.66,298.47,,,1.83,2,4.39,0.63,0.67,0.38,0.23,24.57,20.11,,,70.33,19.03,5.57,,6.05,,7.68,1.77,29.03,29.09,1.44,1.75,,,,,262.37,2.26,,,,18.96,29.3,1.64,1.24,3.95,1.36,4.09,12.41,6.71,6.29,,4.98,,0.59,,,,9,3644941042.999999,Trucks/Construction/Farm Machinery,Producer Manufacturing
ACAD,,43.97,,,,38.8,40.9,46.1,16.4,52.16,,,44.16,2,1.48,8.69,15.67,2.16,197.37,87.05,38.64,1.68,0.11,,,,96.39,64.16,27.31,22.16,34.3,2.32,2.47,1.04,0.57,9.04,3.1,,27.46,,,17.91,32.53,91.73,,,3.43,,2.56,5.03,87.11,87.11,3.91,2.93,,,,,32.35,4.96,,25.27,7.84,32.35,132.86,,,6.34,1.95,4.03,40.04,4.61,7.04,,7.75,,,,,,,4047377469.0,Pharmaceuticals: Major,Health Technology
ACI,,53.8,,18.8,33.9,6,,,4.2,47.9,2.33,,53.39,3.61,0.04,0.02,20.75,0.88,31.49,25.97,3.45,3.24,4.86,,0.18,2.33,13.48,5.86,30.83,11.11,6.21,0.32,0.32,7.42,0.11,1.05,6.91,2.33,8.68,19.39,,1.71,21.81,27.84,3.99,,1.41,,2.43,4.13,10.81,7.92,0.59,0.15,,,,,14.27,,,,,4.26,12.71,0.88,0.8,,0.21,4.28,12.32,10.22,45.12,,6.91,,4.4,31.92,,,7,13551493187.000002,Food Retail,Retail Trade
ACIW,84.92,69.75,2.6,5.9,,7,21.8,,6.8,75.65,,38.45,71.1,2.89,0.15,0.15,48.08,1.32,,22.1,60.56,2.39,0.84,,,,19.04,13.59,23.95,,15.47,3.75,3.87,5.25,0.37,16.16,4.91,,32.07,13.54,23.91,6.24,32.51,50.71,3.86,,12.01,,19.46,4.08,28.28,25.71,2.14,3.41,,1.2,1.67,,21,,1.32,,,17.94,23.12,2.46,1.51,,1.32,5.59,174.23,13.31,14.81,,7.6,,3.04,52.26,,,10,2556336665.0,Packaged Software,Technology Services
ACLS,,46.8,0.9,22.7,,62.7,72,31,34.8,55.42,,22.84,49.39,9.2,2.25,12.33,109.96,4.42,179.55,30.91,63.45,0.15,0.05,,,,11.56,11,21.38,,14.28,3.18,2.94,8.65,0.73,13.75,4.27,,17.52,23.02,,,121.4,44.63,48.8,,21.54,,23.4,3.83,15.13,15.13,0.31,3.2,,,,,23.7,1.61,1.51,18.42,4.95,21.06,25.15,0.61,1.6,3.84,3.26,19.31,74.1,28.93,28.19,,33.01,,1.55,36.98,,,9,5489377800.999999,Industrial Machinery,Producer Manufacturing
ACLX,81.78,65.21,,,,2.6,0.1,,,80.39,,4.08,70.56,8.58,5.85,6.96,66.46,6.01,,,69.04,,0.15,,,,,,,,,27.11,21.69,,0.66,,,,,,,8.1,0.0,,,,,,,7.34,,,,23.33,,,,,,,,13.21,12.59,,,,,7.32,6.01,,,,,,,,,,,,,1598748014.0,Biotechnology,Health Technology
ACM,3.27,64.18,4.6,,,0.1,22.9,46.8,7.7,67.04,0.88,1.1,66.33,2.29,0.26,0.55,96.43,1.13,,55.01,59.44,3.29,1.31,,0.21,0.88,19.49,15.7,20.68,13.25,11.77,1.84,0.91,5.13,0.19,4.4,5.39,0.93,19.51,8.38,13.04,6.91,96.47,6.58,4.87,,1.61,,5.59,5.69,51.84,24.02,8.58,0.84,,,,,19.15,,1.81,,,16.4,25.02,,1.8,,1.13,2.22,88.12,13.4,11.18,,10.64,,3.69,150.67,,,7,11643339642.999998,Engineering & Construction,Industrial Services
ACN,7.32,66.44,0.3,15.1,11.9,7.8,16.1,6.2,13.6,85.14,2.58,,72.17,7.31,0.3,1.2,330.57,1.16,,20.04,71.1,0.43,0.17,,0.42,1.55,22.18,19.28,24,18.6,16.13,3.06,3.23,4.51,0.51,13.44,4.19,1.55,25.86,14.17,6.4,4.64,326.06,32.58,171.01,,10.79,,14.2,7.47,30.27,27.83,2.48,3.21,,1.42,0.95,,24.3,7.05,1.17,,,23,35.01,2.69,1.64,40.22,1.16,13.46,227.4,27.32,26.23,,19.64,,3.09,36.61,,,10,207617355910.0,Information Technology Services,Technology Services
ACVA,21.35,57.32,,,,,,,30.6,61.27,,12.92,60.04,3.26,0.66,2.48,18.26,1.49,,469.19,121.47,,0.24,,,,,,,,,4.75,5.42,,0.45,,,,477.9,,,28.84,17.19,50.64,,,,,,6.77,,,,5.58,,,,,,,,,49.35,533.14,,,,26.09,1.49,,,,,,,,,,,,,2506975976.0,Internet Retail,Retail Trade
ADBE,6.8,63.05,1.7,9.4,,17.7,14.1,11.4,16.8,81.26,,3.21,69.03,13.04,0.85,1.32,557.44,1.16,,49.57,33.69,0.82,0.41,,,,37.87,33.46,39.09,22.57,21.09,10.41,12.18,2.64,0.5,31.17,2.58,,27.09,20.54,13.83,11.16,585.77,88.24,58.8,,24.86,,35.4,16.86,50.08,32.18,1.5,12.45,,0.94,1.16,,39.9,17.99,0.97,,,38.62,56.86,1.77,2.55,225.68,1.16,17.46,275.62,32.26,32.8,,22.15,,2.38,73.44,,,10,241068062221.0,Packaged Software,Technology Services
ADEA,15.6,60.31,,,,,,,,76.08,0.3,4.71,65.33,1.89,1.29,0.17,11.8,3,,,33.87,2.68,1.52,,0.19,1.65,15.69,8.63,12.81,,,4.38,4.89,6.37,0.34,38.16,10.66,1.65,8.89,17.18,,,8.94,,2.01,,12.87,,32.86,3.58,29.5,11.48,3.7,3.73,,,,,9.69,,1.75,,,8.81,12.64,,0.6,,3,4.2,606.5,11.04,13.34,,10.28,,13.42,31.05,,,5,1062196184.9999998,Packaged Software,Technology Services
ADI,35.88,54.89,,30.2,11.6,25.1,26.1,12.4,17.3,69.45,2.83,25.08,59.67,5.71,0.72,0.29,221.91,1.58,139.52,42.88,48.16,1.69,0.23,,0.58,1.6,55.28,27.79,38.67,24.76,20.68,10.91,12.22,1.81,0.72,30.39,2.68,1.66,27.57,18.14,15.55,,156.68,59.84,9.13,,20.45,,25.76,3.12,66.64,50.4,4.13,10.6,,1.84,1.64,,36.22,,1.57,,,25.94,32.29,2.37,1.79,,1.13,4.37,59.43,5.61,6,,5.53,,2.29,52.34,,,10,90112565563.0,Semiconductors,Electronic Technology
ADM,,43.38,2.6,9.4,7.7,25.1,24.8,,15,53.93,4.31,19.46,45.35,3.26,0.04,0.06,59.25,1.44,50.79,24.24,21.73,2.36,0.54,,0.35,3.28,10.06,7.85,12.48,12.01,8.82,0.44,0.44,9.94,0.42,3.56,11.15,3.37,10.94,22.29,,,78.16,7.44,4.48,,2.93,,3.39,1.28,11.85,10.84,0.59,0.35,,,,,9.92,0.95,0.85,,,6.59,8.52,0.49,1.72,1.87,0.88,4.77,18.59,10.96,10.87,,5.18,,16.6,12.63,,,10,42539663009.00001,Agricultural Commodities/Milling,Process Industries
ADNT,,38.3,0.1,22.6,,89.8,,,6.1,43.65,,,39.74,1.81,0.24,0.35,21.24,1.08,21.59,65.9,45.85,3.8,1.32,,,,10.64,5.29,11.58,8.7,4.77,0.24,0.24,9.4,0.21,2.05,16.47,,6.41,,22.64,,39.67,6.28,2.09,,0.5,,2.67,0.96,28.7,7.96,,0.13,,,,,6.54,,,,,3.46,8.56,,0.66,,0.87,0.79,24,5.88,3.46,,7.03,,13.67,,,,5,3590797312.0,Auto Parts: OEM,Producer Manufacturing
ADP,,70.66,1.2,,13.8,15.3,15.1,13,9.9,82.7,3.55,,74.72,2.61,0.06,0.79,269.57,1.01,,2.97,62.22,0.64,0.82,,0.59,2.03,21.02,18.98,30.61,20.58,18.73,5.43,5.73,4.76,0.08,18.72,3.27,2.09,26.9,14.6,8.78,5.55,265.98,45.44,13.74,,19.54,,25.85,24.18,29.57,29.34,2.42,5.77,,1.32,1.61,,30.8,12.94,1.21,,,26.65,46.98,2.45,2.61,128.37,1.01,6.8,497.94,59.7,91.62,,7.53,,3.07,41.57,,,10,101064499899.00002,Data Processing Services,Technology Services
ADSK,22.28,60.47,0.9,25.4,,21.7,23.3,,14.2,72.65,,,64.62,4.87,0.49,0.76,249.91,0.69,,89.81,32.86,1.93,1.21,,,,45.41,40.52,55.11,42.43,38.47,9.08,9.73,2.2,0.22,17.66,1.85,,30.76,22.72,11.13,11.1,257.32,90.77,1210,,17.66,,21.44,24.92,54.09,31.47,0.58,9.6,,,,,54.24,,0.91,,,49.88,157.35,1.26,2.68,,0.69,10.57,330.24,22.42,65.58,,9.75,,0.7,227.19,,,6,45606470933.0,Packaged Software,Technology Services
ADT,25.4,51.33,,3.7,,,,,,55.15,2.45,19.34,52.9,0.5,0.03,0.01,7.36,0.75,99.17,116.01,32.51,3.42,2.03,,0.37,2.45,15.5,6.39,14.23,,5.73,2.95,2.97,6.45,0.24,20.86,15.15,2.97,10.84,11.45,30.81,3.13,6.67,81.58,2.1,,13.82,,22.19,1.76,9.95,14.93,,1.42,,,,,6.77,,,,,3.84,5.49,,0.59,,0.59,4.07,28.19,6.32,18.83,,4.34,,26.12,,,,3,5285531149.0,Miscellaneous Commercial Services,Commercial Services
AEE,,71.11,,6.5,8,7.3,6.3,10.2,6.9,74.49,4.37,6.96,72.69,0.87,0.01,,82.29,0.67,74.06,86.49,26.35,5.01,1.54,,0.61,3.16,19.96,11.19,,20.79,11.64,5,5.53,5.01,0.27,,,3.26,17.86,0.79,7.47,4.4,81.26,50.31,3.09,,16.28,,26.85,1.9,18.62,19.41,3.53,3.04,,1.3,,,,1.3,1.17,,,8.73,,2.84,,1.97,0.45,2.88,5.92,5.36,10.43,,4.04,,,20.94,,,10,21222279644.0,Electric Utilities,Utilities
AEIS,,53.84,0.9,13,,,,,6.1,64.46,0.37,13.27,57.4,3.7,3.21,0.97,107.61,5.47,137.27,54.32,63.98,5.91,0.88,,0.1,0.37,39.14,23.86,36.92,,12.08,2.83,2.74,2.55,0.46,7.41,2.76,0.37,32.11,22.01,,,86.39,35.21,3.81,,6,,5.38,3.48,44.83,27.24,2.03,2.67,,1.27,2.18,,36.23,2.62,0.95,,13.47,23.75,43.92,1.4,1.63,5.66,4.22,3.75,15.66,5.02,7.97,,7.79,,,37.22,,,9,3937546139.0,Electronic Production Equipment,Electronic Technology
AEO,34.63,56.03,,10.5,45.5,,,66.4,5.8,65.32,1.95,,59.07,4.27,0.39,0.23,21.33,1.7,75.33,27.97,17.12,2.06,0.75,,0.3,2.24,13.2,8.35,13.69,10.85,7.47,0.98,0.99,7.58,0.49,7.25,9.21,2.36,11.98,0.41,11.53,3.69,17.78,38.98,418.66,,4.12,,7.48,2.39,19.22,14.03,,0.78,,,,,10.81,1.33,0.97,,,7.6,19,,1.4,2.83,0.81,6.29,17.29,14.86,12.87,,10.26,,11.87,19.75,,,9,3043221255.9999995,Apparel/Footwear Retail,Retail Trade
AEP,20.01,58.67,,5.1,5.9,3.4,0.9,1.3,6.7,58.7,4.69,15.06,56.83,0.91,0.04,0.01,98.29,0.65,83.79,105.01,18.99,5.86,1.7,,0.69,3.54,22.4,12.69,,18.42,11.62,4.54,4.92,4.46,0.26,,,3.54,17.45,1.36,13.56,4.02,93.36,60.67,2.21,,13.49,,20.7,2,19.7,19.6,3.56,2.67,,,,,,1.32,1.16,,,8.55,,3.78,12.78,2,0.48,2.71,5.54,5.01,10.42,,4.34,,,21.18,,,10,41234689544.0,Electric Utilities,Utilities
AER,54.57,55.94,,6.4,,,5.5,,,64.35,0.53,20.91,59.29,0.77,0.89,0.03,93.93,3.42,5.35,58.48,3.06,9.64,2.69,,0.02,0.53,28.23,13.23,,15.95,9.39,7.73,8.09,3.54,0.24,,,1.07,8.52,,10.18,3.07,77.14,34.83,,,42.04,,28.67,1.08,6.14,9.24,,2.49,,,,,,0.72,1.46,,,3.56,5.52,,1.66,1.27,3.38,4.6,3.68,3.2,19.62,,2.94,,16.03,14.59,,,8,14432429370.0,Finance/Rental/Leasing,Finance
AES,,55.34,,,5,,6.9,,7.2,83.28,4.9,9.5,64.62,0.52,0.19,0.06,17.77,0.97,26.58,87.18,46.9,10.74,9.24,,0.31,3.84,26.91,14.78,,17.39,10.68,2.81,3.16,3.72,0.07,,,3.84,9.26,,6.88,3.01,22.68,20.79,1.61,,6.07,,18.51,4.09,16.92,8.04,,1.03,,,,,,2.29,1.07,,,5.01,,,,14.57,0.91,1.68,4.94,4.08,27.42,,,,,,,,6,11544405347.0,Electric Utilities,Utilities
AESC,,35.72,,,5,,6.9,,7.2,31.65,,,33.54,0.52,0.19,0.06,62.61,0.97,26.58,87.18,46.9,10.74,9.24,,,,26.91,14.78,,,,,3.16,3.72,0.07,,,,6.72,,6.88,3.01,0.0,20.79,1.61,,6.07,,18.51,4.06,16.83,8,,1.01,,,,,,,,,,4.98,,,,,0.91,1.68,4.94,4.08,27.42,,,,,,,,6,11544405347.0,Electric Utilities,Utilities
AESI,,50.5,,14.3,,129.9,,,64.1,58.04,4.3,12.64,53.02,2.22,0.44,0.21,19.95,1.53,19.27,53.52,60.18,1.97,0.47,,0.66,4.3,14.29,10.27,,,8.04,2.24,3.35,7,0.54,,,4.62,10.95,,39.54,33.85,0.0,34.88,9.58,,13.71,,23.57,2.09,16.05,15.94,,2.36,,,,,,1.32,,,,7.37,,,,2.5,1.35,7,16.82,13.32,17.82,,12.65,,,,,,3,2304000047.0,Construction Materials,Non-Energy Minerals
AFRM,108.37,58.38,,,,,,5.8,30.4,72.05,,,64.9,1.49,14.67,0.32,29.96,56.68,,15.45,40.55,,2.44,,,,,,48.54,23.47,26.49,4.93,6.43,,0.29,13.24,3.04,,,,33.19,27.21,41.14,59.46,,,,,,3.5,,,,4.32,,,,,32.91,,,,6.79,21.56,,,,4.46,56.68,,,,,,,,,,,,,7293861260.0,Finance/Rental/Leasing,Finance
AG,4.21,54.96,,9.1,,,,,8,81.37,0.31,38.17,63.53,1.55,1.88,0.82,5.68,3.05,49.42,37.39,6.56,4.11,0.19,,,0.31,,28.66,,,,3.41,3.51,,0.69,,,0.32,120.85,18.64,,5.53,5.77,8.95,,,,,,1.22,,,,3.18,,,,,,,0.82,,,23.76,,,4.69,1.22,2.44,,,,,,,,,,,,2,1664184423.375635,Precious Metals,Non-Energy Minerals
AGCO,,43.66,0.2,16.3,20.1,25.7,36.4,,16.7,57.25,2.45,,47.59,2.38,0.15,0.16,88.41,1.52,134.68,45.83,43.28,4.56,1,,0.09,1.31,17.88,11.36,11.71,11.74,9.63,0.8,0.75,5.59,0.3,6.4,13.02,1.31,10.46,27.15,,,129.09,26.24,14.69,,3.13,,10.32,1.63,15.79,7.02,0.28,0.5,,,,,7.72,1.47,0.78,,,4.94,11.83,0.29,0.76,6.9,0.72,3.43,14.41,7.05,9.57,,13.47,,,13.69,,,10,9201222919.0,Trucks/Construction/Farm Machinery,Producer Manufacturing
AGI,47.97,75.04,,2,17.3,10.3,15.9,23.9,12.4,87.36,2.45,49.78,80.42,4.89,1.73,956.31,19.46,3.04,140.5,93.05,12.32,,,,0.18,0.51,23.07,14.59,43.39,,,5.98,7.09,4.33,0.74,16.32,2.24,0.51,25.08,16.91,21.58,15.64,14.36,40.19,749.09,,17.74,,33.47,2.52,38.92,35.38,2.03,6.95,,,,,42.39,1.99,1.78,,,14.46,29.12,2.19,2.6,2.52,1.97,5.01,10.11,9.2,6.81,,6.38,,0.37,,,,5,4919131767.945206,Precious Metals,Non-Energy Minerals
AGIO,76.59,60.24,6.9,36,,,,,,77.43,,60.34,66.04,11.84,9.1,8.82,45.7,10.09,2163.74,1220.68,31.37,,0.1,,,,,,,,,46.56,69.46,,0.85,,,,,,,97.39,0.0,89.33,,,,,,3.94,,,,84.44,,,,,,,,5.68,5,,,,,3.94,9.71,,,,,,,,0.52,,,,1,1454238439.0,Pharmaceuticals: Major,Health Technology
AGL,,28.38,,,,,,,49.4,13.08,,14.19,21.47,2.2,0.29,8.69,4.48,1.36,,93.8,95.75,,0.07,,,,,,,,,0.25,0.3,,0.31,,,,,,,27.87,50.5,0.83,,,,,,2.72,,,,0.37,,,,,,,,,4.62,,,,,3.2,1.36,,,,,,,,,,,,,7602789688.0,Medical/Nursing Services,Health Services
AGR,3.2,62.98,,1.1,,,4.2,,1.7,75.84,4.93,11.39,67.72,0.61,0.02,0.01,35.93,0.52,31.81,110.69,62.6,5.38,0.7,,0.7,4.91,20.63,10.69,,23.03,11.45,3.25,3.23,4.85,0.44,,,4.91,16.04,,9.73,2.3,44.82,35.49,2.48,,11.35,,13.34,0.7,14.2,14.2,,1.62,,,,,,0.73,,,,16.8,,,6.72,0.84,0.44,2.23,4.05,3.5,4.96,,2.52,,,12.02,,,10,13401612433.0,Electric Utilities,Utilities
