Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
DKL,,51.24,,,4.8,5.2,,,11.7,40.79,13.84,,47.9,1.88,,0.17,0.01,40.73,1.84,1.35,12.01,28.75,4.27,,,1.35,10.32,12.89,9.32,22.62,13.39,8.15,3.55,3.43,7.76,,15.16,8.11,10.7,,12.1,12.24,2.54,58.62,27.51,1.68,,,11.81,,24.64,,14.7,13.21,4.89,1.73,,,,,11.43,,1.24,,,7.43,11.6,,1.66,,1.82,7.24,27.58,17.05,,,15.44,,,11.63,,,10,1808826221.0,Oil & Gas Pipelines,Industrial Services
DKNG,22.16,31.65,,,,20.3,47.1,31.8,57.9,19.14,,,26.6,1.89,,0.59,0.61,32.02,1.11,,4.73,22.91,,1.04,,,,,,310.62,,34.5,3.27,3.95,,0.31,0.16,0.04,,101.11,,,23.24,47.35,38.76,,,,,,,11.97,,,,3.58,,,,,1778.89,,,,,85.16,,,,,1.11,,,,,,,,0.49,,,,,14401777983.0,Movies/Entertainment,Consumer Services
DKS,42.45,42,1.8,5.7,47.4,20.7,29.5,,13.5,32.27,8.34,27.08,38.75,4.31,,0.55,0.38,199.0,1.71,129.78,59.15,3.81,2.4,1.6,,0.33,2.11,13.59,10.53,16.45,13.07,10.16,1.43,1.43,7.36,0.28,8.72,7.07,2.21,14.92,24.51,7.42,3.91,156.86,34.96,23.71,,,7.73,,10.23,5.97,16.5,15.85,0.62,1.27,,0.51,0.43,,14.71,2.18,1.66,,,9.31,11.91,0.63,1.43,6.73,0.65,10.88,28.97,21.24,39.1,,18.16,,6.31,27.76,,,10,9600853826.0,Specialty Stores,Retail Trade
DLB,,35.18,1.5,0.5,7.1,2.4,2.5,8.9,5.6,21.75,2.48,0.11,30.31,9.46,,1.86,15.9,76.24,3.5,84.76,43.24,79.83,0.17,0.02,,0.43,1.53,29.13,20.77,17.88,,12.62,4.75,5.15,3.43,0.8,28.79,5,1.57,18.89,4.74,19.14,4.41,85.16,88.35,2092.09,,,15,,18.79,3.02,38.9,28.57,5.95,5.85,,,,,20.3,2.23,1,36.3,7.88,18.74,35.2,,1.4,3.93,3.42,6.43,39.34,8.76,8.04,,10.49,,3.46,31.81,,,10,7820584258.0,Packaged Software,Technology Services
DLO,,30.16,0.5,117.1,,78.5,47.1,46.5,82,16.6,,,26,3.83,,1.01,176.11,7.16,1.61,,490.67,165.09,0.02,0.01,,,,7.88,7.32,6.08,7.54,6.89,1.67,2,12.69,0.41,32.79,11.06,,15.24,,42.12,29.28,35.34,39.86,12.66,,,18.81,,23.49,4.34,16.26,28.39,,3.11,,,,,9.51,2.5,,,5.07,8.74,,,,4.97,1.61,12.8,886.95,40.4,30.47,,163.58,,3.31,,,,5,6012145584.0,Packaged Software,Technology Services
DLR,23.95,49.3,,,2.9,8.5,11.7,,6,52.54,3.92,5.83,48.95,1.59,,1,0.13,150.84,1.53,,299.76,66.14,5.28,0.86,,6.72,3.24,39.65,19.56,40.01,58.26,22.75,11.69,12,2.52,0.47,29.99,3.32,3.24,81.53,2.6,20.04,6.33,138.17,53.73,1.68,,,20.58,,13.77,2.48,44.23,207.77,259.71,8.81,,16.65,2.31,26.52,28.86,7.37,1.11,,,28.86,,,1.59,5.88,1.53,2.62,128.6,4.22,5.95,,1.69,,,61.08,,,10,38973821030.0,Real Estate Investment Trusts,Finance
DLTR,,34.56,2.3,2.4,,,1.4,,9.1,22.58,,,30.57,2.67,,0.13,0.06,99.57,1.28,88.7,32.52,,,1.42,,,,,,77.77,15.77,10.65,1,1.01,,0.33,1.29,1.87,,15.31,22.9,15.44,4.17,160.36,30.57,1.79,,,,,0.61,2.94,,17.14,,0.71,,,,,53.82,1.96,0.66,,,8.28,,,1.49,5.06,0.23,,,,,,0.94,,1.59,30.56,,,8,24717620250.0,Discount Stores,Retail Trade
DMLP,5.3,33.4,,24.4,34.7,54.6,67.2,47,46.1,21.54,23.45,1.87,28.26,132.49,,7.68,29.92,29.46,12.54,,46.33,31.47,0.01,0.01,,1.36,11.33,11.01,11.01,8.88,,,,7.42,9.08,0.97,83.48,10.93,11.33,,28.72,,,32.39,74.1,,,,66.96,,66.96,6.93,11.42,11.42,0.6,7.21,,,,,8.92,1.85,0.82,39.81,22.84,9.01,,0.44,0.79,6.93,12.54,60.2,84.39,62.13,62.51,,80.38,,11.35,16.26,,,10,1112288841.0,Investment Trusts/Mutual Funds,Miscellaneous
DNA,,41.84,,20.8,,,,,35.4,33.67,,,41.87,,,4.97,3.58,0.31,5.34,13.19,147.09,89.29,,0.24,,,,,,,,,7.7,0.46,,0.62,,,,,,40.55,,0.88,80.44,,,,,,,0.69,,,,2.94,,,,,,,,2.86,2.25,,,,,0.79,5.34,,,,,,,,,,,,,4050786110.999999,Medical/Nursing Services,Health Services
DNB,,71.93,,,,2.1,2.1,37.7,4.3,74.58,1.69,,73.34,0.71,,0.28,0.07,11.82,0.71,,38.89,32.03,4.93,1.11,,0.2,1.69,58.05,11.79,39.95,10.23,10.24,3.58,3.7,1.72,0.37,10.44,4.68,1.69,10.08,24.38,7.47,4.81,13.88,62.95,0.71,,,,,7.66,1.57,,11.7,0.52,2.16,,,,,20.85,,,,,11.77,37.29,0.46,,,0.71,,118.02,2.09,,,0.77,,1.97,,,,2,4524028333.999999,Packaged Software,Technology Services
