Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
SMG,,64.92,,,3.8,,,,,70.82,4.84,8.5,67.54,1.67,0.01,,68.76,2.2,145.11,45.49,56.46,,,,,3.84,,,13.33,15.7,12.99,1.9,2.01,,,15.09,13.3,3.84,22.78,21.31,,,64.96,18.16,0.48,,,,2.47,,,,,1.13,,,,,7.46,,0.66,,,6.25,55.01,,4.15,,0.67,,,,,,1.87,,13,21.28,,,8,3091396060.0,Chemicals: Agricultural,Process Industries
SMMT,184.76,54.09,,,,,41.3,43.8,,53.76,,149.73,53.19,,9.13,,,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.62,,,,,,,,,,,,51.33,51.33,,,,,42.78,9.3,,,,,,,,1.19,,,,1,1304671634.0,Biotechnology,Health Technology
SMPL,,32.66,,9.8,,19.9,13.3,40.2,14,30.62,,7.38,31.84,5.28,1.54,0.45,33.36,5.02,53.7,23.61,42.8,1.16,0.17,,,,16.87,14.87,17.56,17.49,16.04,3.08,2.78,5.93,0.76,15.85,5.95,,18.28,,,,42.06,36.59,7.03,,10.66,,16.34,2.07,25.47,21.22,0.41,2.69,,,,,16.99,,,,,16.04,18.15,,1.25,,3.46,6.36,88.21,10.24,8.69,,7.92,,2.23,,,,6,3370729064.0,Food: Major Diversified,Consumer Non-Durables
SMR,,89.45,,68.8,,,22.8,,195.8,96.76,,,93.33,0.35,1.44,74.92,7.85,1.95,,689.28,336.98,,0.02,,,,,,,,,12.18,15.56,,0.34,,,,,,,,0.0,18.18,,,,,,5.66,,,,26.08,,,,,,,,,,,,,,7.48,1.95,,,,,,,,2.3,,,,,1375219336.0,Electrical Products,Producer Manufacturing
SMTC,,57.97,1,4.8,,11.3,21,2.7,13.3,54.01,,,57.66,0.8,0.52,0.09,22.85,2.4,142.65,53.55,60.88,,4.11,,,,,,,,17.99,3.2,3.22,,0.16,,,,25.38,17.29,20,10.06,70.41,47.04,,,,,,4.39,,,,1.73,,,,,,,0.41,,,,,,1.21,,1.72,,,,,,,,,,,,9,1603076681.0,Semiconductors,Electronic Technology
SN,,68.71,,,,,11,,15.5,71.04,,26.41,70.73,4.43,0.14,0.18,57.95,1.69,96.89,65.31,75.72,1.86,0.59,,,,24.19,18.81,59.08,,,1.95,2.08,4.13,0.42,3.51,1.84,,16.15,,,5.54,0.0,45.05,7.76,,4.3,,9.4,5.45,44.71,34.49,,1.91,,,,,54.31,8.61,,,,28.82,,,,48.29,1.06,5.37,44.41,15.47,10.63,,9.95,,,,,,4,5657990000.0,Electronics/Appliances,Consumer Durables
SNA,13.81,57.32,0.9,10.8,14.6,15.1,18.1,4.5,9.6,48.27,4.74,3.29,57.34,6.74,1.06,0.78,289.2,3.88,151.56,40.09,75.41,0.87,0.25,,0.36,2.41,11.29,10.53,14.69,12.35,11.22,3.17,3.05,8.86,0.67,20.73,6.93,2.57,15.13,15.05,7.44,1,259.26,51.28,26.26,,19.79,,25.65,3,15.42,15.29,1.7,3.05,,0.88,0.77,,14.71,1.67,1.22,,12.93,13.5,16.47,1.54,1.18,4.11,2.81,13.97,73.78,22,21.29,,18.25,,3.64,20.74,,,10,13780527585.0,Tools & Hardware,Consumer Durables
SNAP,12.19,40.75,,,,,,,18.4,36.09,,26.64,41.17,0.56,3.12,0.82,11.19,4.39,,30.89,86.63,,1.8,,,,,,553.87,,,3.67,4.18,,0.3,0.76,0.19,,1091.59,,,10.77,15.42,54.1,,,,,,7.63,,,,3.92,,,,,508.64,,,,,73.14,,,,31.97,4.39,,,,,,,,,,,,,14864918887.0,Packaged Software,Technology Services
SNDR,,38.93,0.3,13.2,11.5,6.1,4.7,,6.4,38.68,2.53,,38.19,3.5,0.26,0.53,22.55,1.83,6.34,20.76,40.28,0.43,0.1,,0.26,1.62,12.83,5.85,,15.66,5.55,0.75,0.75,7.79,0.65,,,1.69,20.02,13.49,,,24.42,10.17,20.87,,4.34,,5.39,1.34,16.95,16.58,2.27,0.73,,1.44,,,,1.07,,,,5.91,35.85,1.44,1.25,1.56,1.64,5.33,11.8,8.31,8.16,,6.15,,0.59,13.43,,,10,4994962047.0,Trucking,Transportation
SNEX,10.32,47.22,,18.7,,56.7,26.5,,4.8,37.77,,8.16,43.91,3.32,0.1,0.14,67.06,1.2,2.98,57.08,4.1,6.33,5.43,,,,7.46,7.09,,,,,0.13,13.4,0.06,,,,,65.9,,,67.02,2.3,1.38,,0.34,,1.81,1.42,9.35,8.89,0.24,0.03,,,,,,0.77,1.04,,,,,0.35,0.22,1.51,1.15,1.06,283.77,11.63,17.46,,8.97,,,16.86,,,10,1940567330.0,Investment Banks/Brokers,Finance
SNN,,42.62,0.1,1.7,1.9,5.6,10.9,,9.1,30.46,2.98,6.54,38.89,3.08,0.13,0.1,27.01,1.77,498.97,213.73,74.42,3.22,0.59,,1.25,2.78,33.81,15.17,80.32,16.23,10.22,2.51,2.61,2.96,0.52,3.26,1.54,2.78,15.06,,26.88,5.1,33.34,68.82,4.75,,4.74,,11.89,2.25,44.66,44.66,,2.12,,,,,65.21,4.59,0.63,,,19.36,88.58,,1.38,10.51,0.72,2.62,11.99,5.29,4.96,,7.01,,2.12,19.94,,,10,11518362802.052998,Medical Specialties,Health Technology
SNOW,66.5,25.59,,,,7.6,,,27,9.16,,43.09,17.88,10.55,1.41,13.36,156.97,1.85,,17.41,75.77,,0.06,,,,,,64.06,,,14.1,17.12,,0.63,26.73,1.45,,197.55,,69,24.66,281.17,67.98,,,,,,9.96,,1235.98,,18.35,,,,,68.64,27.06,,64.33,25.86,60.7,,,,13.33,1.85,,,,,,,,1.07,,,,,53546580190.0,Packaged Software,Technology Services
SNPS,52.07,44.81,0.1,7.9,,22.2,36.4,22.1,16.7,29.82,,23.43,39.43,15.16,0.48,1.9,550.25,1.29,84.6,26.15,53.29,0.38,0.1,,,,55.93,47.82,63.49,53.15,38.03,12.59,13.59,1.79,0.63,21.41,1.56,,41.2,21.29,16.27,13.29,458.04,79.33,629.62,,22.96,,22.99,12.58,60.6,48.23,2.32,13.92,,1.54,2.74,,64.93,9.12,2.62,,,56.8,136.17,2.26,4.29,38.82,1.14,14.03,133.45,20.5,23.27,,15.16,,0.78,129.75,,,10,68731238090.0,Packaged Software,Technology Services
SNX,13.11,51.29,,2.8,51.8,,,,16.7,46.01,1.43,0.73,50.09,2.58,0.06,0.25,103.6,1.2,54.27,88.47,58.78,2.73,0.5,,0.12,1.4,11.26,8.11,9.65,7.83,7.22,0.21,0.21,8.88,0.28,2.18,13.84,1.54,8.79,7.12,10,3.2,108.44,6.88,4.45,,1.09,,2.23,1.12,15.44,9.19,,0.17,,,,,7.64,10.41,1.16,,,6.83,7.45,,0.7,264.96,0.77,2.16,33.67,8.17,7.65,,7.87,,10.38,12.45,,,10,9459788529.0,Electronics Distributors,Distribution Services
SNY,,53.26,,2.5,4.2,,2,10.8,7.6,60,4.6,,57.04,1.9,0.37,0.49,48.27,1.27,344.04,285.65,66.24,1.46,0.25,,0.6,3.94,15.31,9.49,21.84,11.75,8.79,2.44,2.57,6.53,0.59,11.48,4.97,3.94,11.39,11.8,13.3,4.99,57.8,69.35,15.77,,11.63,,22.38,1.49,20.51,14.93,2.49,2.38,,,,,20.25,15.23,0.83,,,16.54,13.26,2.51,0.88,344.79,0.87,4.28,63.22,7.67,7.32,,7.58,,4.67,16.42,,,10,137440158080.60257,Pharmaceuticals: Major,Health Technology
SON,3.75,49.8,0.8,9.4,5.5,23.6,15.5,1.3,9.8,42.22,4.44,2.93,48.24,2.65,0.13,0.05,56.99,1.76,64.47,49.94,48.69,3.07,1.38,,0.38,3.58,11.69,8.04,16.91,12.34,8.23,1.26,1.3,8.55,0.34,7.67,9.3,3.58,10.86,12.22,2.5,3.76,65.38,21.17,4.97,,7,,10.02,2.3,11.87,10.83,1.62,0.83,,,,,10.85,,0.81,,,6.39,8.01,1.55,1.13,,1.1,6.67,26.22,13.23,20.99,,8.96,,3.86,18.82,,,9,5444407028.0,Containers/Packaging,Process Industries
