Ticker,12-1 Month Momentum %,14-Day RSI,3-1 Month Momentum %,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-GF-Value,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
SNY,5.94,28.19,,,2.5,4.2,,2,10.8,16.5,7.6,16.2,4.94,3.51,24.86,1.95,,0.23,0.29,46.99,1,249.68,182.66,64.77,2.2,0.33,,0.68,4.25,20.58,12.18,31.75,10.39,8.74,2.59,2.77,4.86,0.56,8.8,3.62,4.25,10,11.6,16.03,4.19,56.87,68.91,13.57,,,8.9,,20.93,1.57,27.17,16.6,2.77,2.42,,,,,27.72,0.83,,0.84,,,14.12,13.73,2.54,0.89,,0.65,3.31,48.19,6.33,5.77,,6.59,,4.43,16.97,,,10,137440158080.60257,Pharmaceuticals: Major,Health Technology
SO,24.46,30.19,,,2.9,3.1,7.4,5.2,,5.62,6.3,16.81,4.03,11.82,24.2,1.01,,0.08,0.02,83.37,0.91,90.51,79.22,30.43,4.87,1.96,,0.69,3.44,19.01,11.61,225.7,20.71,12.56,5.68,5.88,5.26,0.23,2.6,0.75,3.46,19.29,2.72,10.23,3.87,71.67,49.83,2.69,,,17.87,,27.31,2.74,19.41,20.28,7.24,3.47,,1.62,11.64,,134.27,1.16,1.72,1.31,,,9.73,40.45,,5.44,3.28,0.63,3.36,7.93,6.37,14.71,,4.38,,,24.78,,,10,77526955994.0,Electric Utilities,Utilities
SON,,54.76,,0.8,9.4,5.5,23.6,15.5,1.3,5.69,9.8,61.54,4.94,,58.04,2.11,,1.15,0.38,52.13,2.36,54.07,50.8,53.44,5.7,2.05,,0.42,3.98,15.65,9.28,25.46,8.41,6.67,1.04,1.26,6.39,0.27,4.93,6.34,4,9.74,26.26,3.53,,54.98,21.2,3.84,,,4.38,,9.23,2.06,17.88,10.59,1.58,0.79,,,,,15.92,0.95,,0.77,,,7.33,13.76,0.5,1.04,,1.91,3.81,18.06,8.61,11.92,,7.83,,,16.83,,,9,5444407028.0,Containers/Packaging,Process Industries
SONO,,59.31,25.09,1.4,,,,,,,0.2,58.5,,,59.78,3.91,,0.6,3.45,14.49,1.51,95.63,75.74,18.96,2.5,0.15,,,,,62.95,12,,,,1.06,,0.47,8.87,7.6,,39.85,,,4.65,16.23,45.41,,,,,,,4.14,,41.36,,1.2,,,,,14.29,0.89,3.54,,,27.87,9.96,31.18,,1.49,6.88,0.87,,,,,,,,7.75,,,,2,1705833597.9999998,Electronics/Appliances,Consumer Durables
SONY,3.27,82.4,,0.5,4.8,15.6,13.5,,4.6,,13.6,95.89,1.35,11.18,89.43,1.13,,0.22,0.55,22.38,0.66,66.38,85.67,60.91,1.51,0.53,,0.1,0.56,13.96,8.16,19.16,15.21,9,1.68,1.68,7.16,0.23,9.2,5.69,0.56,18.12,14.59,8.21,,20.48,27.68,17.93,,,8.54,,10.6,2.63,18.34,18.34,1.85,1.57,,,,,17.93,1.09,1.73,1.61,,,11,15.23,1.57,1.41,3.62,0.49,3.31,77.87,6.72,14.94,,3.01,,1.85,29.54,,,9,108714217946.11716,Computer Processing Hardware,Electronic Technology
SOS,,40.97,53.85,,,,,90.7,,,,30.37,,,38.12,0.43,,2.61,2599.23,8.0,5.35,136.03,81.52,4.05,0.01,,,,,31.76,,5.66,,,,,3.15,0.83,,,,,,,,0.0,14.87,,,,,,,0.02,1.94,1.95,,0.32,,,,,,,0.05,,0.07,0.03,,,,,0.02,5.03,,,,,,,,,,,,3,1215493567.0,Internet Software/Services,Technology Services
SPB,23.41,45.81,4.93,12.4,29.3,,27.3,126.4,,,11.9,31.55,1.9,4.84,41.57,2.93,,0.54,0.57,91.16,2.3,89.59,75.63,70.64,2,0.3,,0.47,1.9,12.75,8.75,23.9,13.04,8.42,0.94,0.96,7.84,0.56,4,4.64,2.06,16.96,,15.21,1.72,104.15,37.43,2.51,,,4.21,,4.95,1.2,22.33,25.62,,0.93,,,,,21.54,0.88,3.2,1,,,16,14.13,,1.13,8.97,1.62,2.78,29.3,5.86,5.53,,3.03,,81.28,12.06,,,8,2852473774.0,Electronics/Appliances,Consumer Durables
SPG,32.52,45.02,8.84,0.3,0.1,16.6,10.6,14.6,17.2,,5.1,28.64,4.32,16.36,38.09,1.44,,0.74,0.1,177.2,0.96,,589.33,48.65,5.03,9.56,,1.32,4.59,21.26,15.74,26.6,25.05,18.54,15.28,13.73,4.7,0.08,51.61,5.29,4.76,27.9,8.11,3.17,,129.77,83.03,3.38,,,41.48,,51.6,21.57,23.52,29.61,,9.75,,,,16.58,18.88,1.37,5.35,1.09,,,15.29,18.34,,1.97,21.57,0.96,7.31,750.29,12.66,83.15,,9.66,,4.54,23.46,,,10,38088310169.0,Real Estate Investment Trusts,Finance
SPGI,17.96,50.72,,,271.9,10.3,3,6.2,,0.72,8.4,41.2,1.3,14.36,47.84,5.35,,0.31,0.14,512.87,0.94,,41.08,72.62,1.89,0.35,,0.24,0.71,33.09,26.99,33.13,23.18,22.78,11.38,12.38,3.02,0.56,37.36,3.21,0.71,30.68,8.01,14.01,8.59,483.36,68.7,16.86,,,25.8,,37.1,4.78,45.57,34.26,4.13,11.76,,2.95,1,,31.47,1.06,,1.22,,,30.64,34.95,6.15,2.26,,0.94,5.86,814.26,9.37,10.28,,6.71,,2.73,54.29,,,9,123544339846.99998,Financial Publishing/Services,Commercial Services
SPHR,28.64,38.25,,,,,,,18.8,,15.5,38.44,,11.21,37.2,0.16,,0.41,0.36,38.4,0.56,3.75,21.23,52.39,,0.65,,,,,,145.74,,,2.01,2,,0.5,1.39,1.17,,,,,7.77,48.4,46.95,,,,,,,0.58,,,,1.18,,,,,83.79,0.8,,,,,12.25,,,,0.75,0.55,,,,,,,,25.13,,,,3,1299417394.0,Media Conglomerates,Consumer Services
SPNS,6.52,38.65,,,4.7,53.9,11.1,27.9,11.8,,8,65.49,7.37,,45.73,6.02,,1.26,2.95,28.43,2.18,,10.55,64.25,0.6,0.13,,0.4,2,17.43,13.94,21.24,,,,2.72,5.74,0.69,12.82,4.34,2.04,18.97,15.64,5.52,4.37,29.8,43.4,,,,13.23,,15.63,3.39,22.42,20.19,1.3,2.96,,0.72,0.74,,23.07,0.95,3,0.96,,14.51,20.26,24.11,1.65,1.72,10.06,2.18,10.56,249.24,16.07,15.97,,16.12,,3.65,37.46,,,10,1582471475.9999998,Packaged Software,Technology Services
SPOT,110.75,58.5,24.26,,,,22.1,,47.6,16.35,13.2,42.42,,32.93,52.36,10.32,,1.48,3.4,480.11,1.71,,23.77,13.28,2.05,0.39,,,,110.68,95.06,46.57,41.9,39.28,4.87,5.57,0.91,0.44,11.97,2.05,,50.33,,,14.45,192.03,28.72,17.38,,,4.65,,5.41,18.74,128.82,97.99,,5.83,,,,,49.34,2.49,10.54,,545.58,80.69,49.02,70.46,,8.49,25.19,1.71,7.7,149.52,14.79,20.86,,19.83,,,,,,,30167115883.0,Internet Software/Services,Technology Services
SPR,8.95,53,,,,,,18.2,25,,20.1,51.87,,4.27,53.58,0.59,,0.06,0.04,32.49,1.15,94.25,56.33,32.75,,,,,,,,,35.24,17.41,1.12,1.35,,,,,,34.59,27.13,,15.78,32.88,,,,,,,,,,,,0.58,,,,,,0.99,,0.56,,,,,,,,0.56,,,,,,,,,,,,6,1772019793.0,Aerospace & Defense,Electronic Technology
SPSC,1.54,61.89,,,15.2,,16.4,23,14.8,7.45,18.5,66.86,,,65.15,27.15,,1.41,15.62,197.14,2.36,,14.27,30.44,0.1,0.02,,,,83.22,57.32,54.81,,,,11.84,1.2,0.83,21.49,1.78,,50.51,18.7,17.33,16.6,206.95,66.63,,,,12.83,,14.22,8.92,94.21,59.13,2.78,12.16,,1.89,1.81,,56.6,0.95,9.06,1.45,231.93,43.42,49.74,102.33,3.4,3.82,31.11,2.36,9.11,190.34,11.97,11.18,,11.34,,0.55,191.16,,,10,6447305228.999999,Packaged Software,Technology Services
SPT,,70.65,7.43,,,,,,,,32.3,83.35,,,76.11,4.43,,0.49,1.96,35.03,0.96,,34.08,50.6,,0.3,,,,,,115.66,,,4.21,4.69,,0.41,4.3,0.85,,50.36,,85.35,16.86,79.22,77.31,,,,,,,12.64,,102.35,,5.02,,,,,117.17,0.44,26.14,,,,100.87,,,13.9,149.36,0.96,,,,,,,,,,,,,2766653510.9999995,Packaged Software,Technology Services
SPWR,,26.12,,,,,,,,102,30,38.95,,,28.89,,,0.1,0.23,0.0001,0.94,85.12,55.71,41.22,,1.24,,,,,,,3.63,2.18,0.14,0.17,,0.23,,,,,,42.51,,19.42,14.15,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64,,,,,,,,1125430.56,,,,4,1264884010.0,Engineering & Construction,Industrial Services
SQ,25.41,57.74,37.03,,72.9,,20.2,28.9,,0.81,21.9,47.14,,35,53.99,3.35,,1.27,1.73,94.11,2.07,2.63,5.28,82.52,3.97,0.37,,,,37.64,29.72,77.37,21.99,23.15,2.01,2.32,2.66,0.55,3,1.18,,20.64,20.75,44.03,11.29,78.77,36.06,106.72,,,4.41,,6.18,3.04,58.8,31.37,0.85,2.61,,,,,86.66,1.2,3.52,,,13.37,69.44,62.9,1.2,2.72,9.66,2.06,2.99,269.18,6.03,5.56,,7.61,,0.15,4134.57,,,4,32230351795.0,Information Technology Services,Technology Services
SQM,,51.44,,,42.5,136.8,114.8,147.7,,33.58,65.5,50.54,24.88,,52.05,2.85,,1.34,0.53,39.31,2.94,194.22,40.74,56.13,3.91,0.96,,,3.3,12.36,12.31,,7.91,6.72,2.66,3.21,8.09,0.45,,,5.23,11.36,23.9,,,34.0,30.09,6.34,,,,,24.37,2.51,,,,2.67,,,,,,1.16,,0.64,,,32.75,,,1.19,2.52,2.05,,19.89,14.11,,,,,,,,,10,16483895654.369904,Chemicals: Specialty,Process Industries
SQSP,54.49,69,5.68,,26.9,,,,,,,58.89,,31.16,64.68,2.6,,0.55,0.51,46.57,0.76,,18.31,8.47,5.02,,,,,115.23,54.15,27.73,37.9,30.14,4.94,6.13,0.87,,22.1,3.78,,73.11,,,15.35,32.72,74.21,1.17,,,,,4.31,,,,,5.84,,,,,26.52,1.42,,,,,24.82,,,,,0.76,,44.96,16.58,,,,,,,,,2,4039537988.0,Information Technology Services,Technology Services
SR,3.52,44.37,1.75,,3.5,5.1,3.2,,,1.57,2.1,17.47,5.67,12.79,34.94,0.73,,,,68.11,0.45,57.33,53.6,40.95,5.95,1.45,,0.7,4.44,17.43,11.28,174.16,16.57,10.63,3.12,3.43,5.74,0.3,1.97,1.29,4.57,15.3,3.55,7.25,4.84,66.2,37.88,2.43,,,9.68,,18.83,1.33,15.94,16.02,1.65,1.48,,,,,79.25,1.03,1.24,0.85,,,4.25,16.9,1.42,,2.18,0.3,2.36,7.27,5.78,7.88,,3.56,,,15.69,,,10,3190380397.9999995,Gas Distributors,Utilities
