Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
ALG,8,52.79,,13.2,19.2,20.9,32.5,,12.8,66.43,1.11,,56.4,5.37,0.57,0.4,179.83,4.37,111.5,31.49,82.62,1.23,0.3,,0.09,0.56,12.27,9.66,23.71,,,,1.38,8.15,0.65,5.82,4.51,0.59,16,19.9,,,185.93,26.38,7.25,,7.56,,11.01,2.2,17.03,17.03,1.14,1.29,,0.83,1.77,,22.11,1.63,1.09,,5.67,16.82,21.55,1.04,1.33,3.51,2.52,8.63,24.24,15.03,13.72,,12.27,,3.15,25.33,,,10,2055962845.0,Trucks/Construction/Farm Machinery,Producer Manufacturing
ALGM,,50.87,,23.7,,70.5,43.2,,17.2,68.54,,,57.23,9.83,1.64,0.77,25.24,4.65,139.09,38.72,41.87,1.13,0.2,,,,37.05,23.36,61.78,19.35,16.14,5.94,4.96,2.7,0.77,8.04,1.62,,61.56,,,,30.21,52.38,8.33,,7.91,,13.66,4.41,66.42,25.24,1.31,5.4,,,,,66.75,2.94,,,32.78,30.27,123.31,0.97,,7.72,2.98,5.25,22.78,9.75,6.75,,8.39,,,,,,6,6308022957.0,Semiconductors,Electronic Technology
ALGN,,53.69,1.6,5.6,,19.8,,7.4,17.4,63.7,,,58.66,5.97,0.38,6.06,235.13,1.18,88.68,33.5,86.77,0.16,0.03,,,,24.53,20.37,41.43,22.14,19.13,4.16,4.25,4.08,0.61,10.26,2.3,,24.98,15.99,12.79,7.74,321.33,69.82,,,11.34,,17.34,4.67,39.92,25.81,2.06,4.53,,0.75,1.76,,44.34,2.51,0.58,,1469.56,34.25,170.25,1.97,1.76,5.51,1.06,7.24,48.81,16.67,12.02,,9.39,,0.71,31.23,,,10,25416078366.0,Medical Specialties,Health Technology
ALGT,,44.35,,19.5,19.7,,25.8,,31,57.76,5.8,,47.3,0.97,0.6,0.34,41.12,0.74,6.23,10.89,9.08,6.92,1.74,,0.87,5.8,24.93,6.75,,,,0.89,0.9,4.01,0.27,,,5.8,31.98,,,8.28,105.24,15.38,1.1,,,,4.63,0.57,,14.9,,0.29,,,,,,0.61,0.19,,,2.32,,,0.81,0.57,0.71,,2.59,2.45,,,2.35,,,4.86,,,9,1561179126.0,Airlines,Transportation
ALHC,63.47,52.94,,72.1,,,,,24.1,61.6,,57.1,54.29,2.68,0.98,1.65,8.84,1.61,,40.28,21.67,,1.78,,,,,,,,1052.88,0.57,0.66,,0.17,,,,,,19.18,27.39,13.75,10.66,,,,,,13.12,,,,0.72,,,,,,,,,294.67,,,,,20.09,1.61,,,,,,,,,,,,,1145501450.0,Managed Health Care,Health Services
ALIT,,48.25,,79.1,,,,13,4.5,57.25,,,50.85,0.6,0.07,0.06,7.03,1.37,,67.99,70.1,14.91,0.65,,,,,32.91,27.68,22.33,13.31,2.63,2.25,,0.43,8.12,6.28,,9.72,,12.99,3.94,7.95,33.97,,,,,,0.84,,11.75,,1.24,,,,,15.3,,,,,9.34,,,,,1.37,,,,,,,,4.63,,,,1,4223181650.000001,Information Technology Services,Technology Services
ALK,,42.23,,10.7,,,,2.3,41,49.53,,,44.27,1.32,0.51,0.65,34.99,0.68,4.67,8.69,12.69,4.15,0.92,,,,12.95,6.19,,7.46,4.27,0.54,0.55,7.72,0.28,,,,8.66,2.85,16.46,5.11,52.54,17.58,6.95,,2.14,,7.34,1.05,20.34,9.31,,0.42,,,,,,0.91,0.4,,,4.1,,,0.87,2.02,0.66,1.5,4.74,4.44,5.53,,3.44,,1.28,9.48,,,9,5021548560.999999,Airlines,Transportation
ALKS,,65.11,,2.4,,,,101.1,14.4,76.88,,,68.42,4.11,1.7,2.38,28.26,2.99,278.72,121.54,76.68,0.78,0.29,,,,9.9,8.8,12.62,9.58,8.95,2.72,2.74,10.1,0.58,21.7,7.03,,10.48,,4.77,,28.78,83.31,15.66,,19.15,,24.91,3.65,16.82,13.65,,3.22,,,,,14.7,1.54,0.78,,7.58,12.86,22.01,,2.38,3.91,2.61,13.2,82.86,24.69,22.64,,46.23,,0.39,,,,1,4930138503.0,Pharmaceuticals: Major,Health Technology
ALKT,100.31,51.41,,,,6.2,,19.5,27.8,54.76,,30.78,50.65,23.3,2.16,4.6,31.69,3.75,,15.13,34.45,,0.06,,,,,,,,,,10.18,,0.81,,,,136.01,,,23.75,24.29,56.94,,,,,,9.46,,,,10.15,,,,,,,,288.09,41.7,,,,,21.41,3.75,,,,,,,,1.89,,,,,1635813314.0,Packaged Software,Technology Services
ALLE,15.51,61.8,1.4,18.3,12,20.2,9.9,7,12.2,71.01,2.88,,64.21,4.02,0.72,0.31,134.51,1.66,80.66,44.91,43.66,2.8,1.69,,0.29,1.37,17.74,15.35,26.23,16.25,14.18,3.49,3.59,5.64,0.3,13.67,4.36,1.42,18.58,15.31,10.7,3.8,129.99,43.77,7.9,,15.08,,20.18,8.08,21.02,20.68,2.59,3.17,,0.79,1.16,,23.19,,1.01,,,19.58,20.3,1.84,1.74,,1.23,12.75,113.25,21.5,42.85,,18.94,,2.2,29.03,,,10,9276591909.999998,Building Products,Producer Manufacturing
