Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
TFII,10.52,53.2,3.3,18.8,24,22.6,25.2,15.1,12.44,29.6,65.92,2.3,,57.39,3.75,,0.77,0.31,146.96,1.66,1.29,34.22,41.62,2.35,1.14,,0.26,1.04,19.37,11.65,23.34,17.94,8.58,1.54,1.82,5.16,0.38,7.83,5.04,1.06,16.44,23.76,20.7,11.28,132.76,16.06,6.66,,,5.93,,9.49,4.82,26.58,24.93,1.07,1.57,,0.72,0.59,,20.19,5.14,1.83,,,12.27,14.36,1.24,1.85,24.41,1.64,7.89,25.55,14.94,18.53,,11.2,,,32.66,,,10,11250289355.07113,Trucking,Transportation
TFPM,21.08,56.48,,12.8,,,20.5,64.1,4.88,13.8,54.09,1.28,18.5,56.72,50.69,,2.09,1.05,16.58,5.8,2.34,30.84,21.3,,0.01,,0.92,1.28,,,20.98,,,11.49,15.32,,0.98,73.16,4.86,1.32,24.38,,25.02,11.49,15.59,56,11.2,,,,,37.22,1.95,,72.09,2.16,15.12,,,,,20.68,2.51,,,165.8,20.68,,2.14,,1.95,5.8,,,,,,4.53,,0.24,,,,4,2658788758.0252523,Precious Metals,Non-Energy Minerals
TFX,13.24,52.87,,9.7,,5.3,19.8,6.6,6.81,5.4,35.26,0.56,10.52,46.07,3.86,,0.43,0.13,241.53,2.58,173.09,34.89,53.28,2.89,0.4,,0.1,0.56,34.64,20.57,31.04,23.91,15.59,3.95,4.31,2.89,0.61,13.88,3.67,0.56,15.67,6.46,8.05,5.16,260.57,55.87,4.56,,,8.76,,14.07,2.5,43.36,17.69,2.49,3.81,,0.97,1.91,,27.4,,0.78,,,21.08,40.66,,1.58,,1.44,3.58,28.58,5.51,5.98,,6.06,,,31.78,,,10,10030476579.0,Medical Specialties,Health Technology
TGLS,69.38,71.72,0.5,38.8,48.5,53.4,82.2,3.6,42.92,29.3,78.86,0.41,29.7,75.35,7.85,,0.61,0.91,66.99,2.43,116.13,73.57,78.21,0.61,0.25,,0.12,0.59,15.21,13.6,34.17,,,,3.9,6.57,0.61,11.41,2.96,0.65,16.2,21.78,6.32,5.68,43.43,41.31,23.91,,,17.97,,25.43,5.48,21.48,20.83,0.58,3.82,,,,,33.65,2.31,2.79,,21.13,19.19,23.33,0.83,2.96,5.75,1.8,15.57,45,29.45,27.32,,21.47,,0.9,49.26,,,9,1673814339.0,Building Products,Producer Manufacturing
TGNA,,63.3,6.4,17,14.3,,,,113.45,1.5,82.56,4.97,,70.81,2.85,,1.05,0.14,15.14,2.58,,18.58,77.36,3.64,1.12,,0.26,3.17,6.85,5.96,11.6,,7,1.8,1.8,14.6,0.4,15.5,17.72,3.32,7.23,25.88,21.43,,20.59,39.8,3.26,,,15.44,,19.52,0.9,6.2,8.55,1.36,0.95,,0.69,0.5,,6.26,,0.7,,,5.55,4.67,0.99,0.3,,2.58,6.23,96.07,11.21,15.6,,6.78,,24.03,5.51,,,10,3212260646.0,Broadcasting,Consumer Services
TGS,62.27,57.68,,104.8,,37.1,,,3.32,40.2,50.09,,43.58,56.6,3.27,,0.79,1.06,20.62,1.05,5.99,33.54,30.39,1.48,0.3,,,,9.3,6.4,262.9,,,,2.29,10.75,0.65,,,,11.92,21.47,,,3.88,45.51,6.81,,,18.77,,35.8,2.29,19.85,20.18,0.41,5.22,,0.59,,,262.37,1.83,3.05,,,24.56,57.98,1.31,1.86,2.29,1.04,8.89,23.79,19.55,14.24,,12.85,,,73.64,,,9,3114344289.0624,Gas Distributors,Utilities
TGT,20.7,57.45,2.7,0.3,17.6,1.4,,,,7.8,67.05,5.22,,60.05,3.45,,0.17,0.19,153.6,0.9,60.49,59.71,3.03,2.05,1.3,,0.45,2.87,13.72,9.34,16.18,14.28,9.71,0.8,0.79,7.29,0.26,4.91,7.44,2.91,16.08,9.79,9.19,2.15,158.4,28.43,14.22,,,4.18,,5.7,4.91,15.87,15.87,2.27,0.69,,0.95,1.08,,13.47,1.86,1,,,8.28,15.58,,1.17,4.91,0.27,8.13,17.1,17.66,33.89,,11.89,,2.5,20.03,,,9,56800554338.0,Specialty Stores,Retail Trade
TGTX,132.18,64.94,,,,,,51.5,3203.25,1063,79.56,,46.71,69.39,7.58,,2,1.93,25.25,3.58,763.41,,54,1.04,0.63,,,,34.92,34.8,55.71,,,10.11,10.9,2.86,0.44,19.56,1.73,,33.44,,175.79,45.12,299.63,92.76,8.21,,,27.6,,29.37,21.96,42.08,42.08,,11.27,,,,,58.61,6.41,,,23.6,58.61,130.15,,,21.96,2.83,28.89,220.26,42.81,68.02,,156.76,,,,,,1,1530912607.0,Pharmaceuticals: Major,Health Technology
TH,,48.29,,56,,64.5,,33.1,476.45,31.7,36.94,,16.34,44.45,4.08,,0.66,0.79,9.68,0.89,,29.32,43,0.76,0.5,,,,5.65,3.96,7.33,,,3.03,2.15,17.7,0.57,29.31,14.45,,20.49,28.29,,,9.02,51.08,7.9,,,25.48,,36.26,2.45,8.81,9.13,0.67,2.11,,,,,7.23,1.15,,,,5.77,9.03,0.36,1.05,3.28,0.89,17.75,44.5,37.2,34.35,,19.8,,10.35,,,,5,1417264935.0,Hotels/Resorts/Cruise lines,Consumer Services
THC,123.74,55.6,2,293.5,,10.7,,,,5.7,54.68,,56.07,54.29,1.95,,0.52,0.22,161.07,1.45,40.17,129.43,51.27,2.05,3.7,,,,4.63,3.99,13.24,7.84,6.13,1.14,1.2,21.6,0.12,9.04,12.25,,14.16,26.79,20.54,3.4,83.64,82.58,3.13,,,13.17,,13.08,4.44,5.91,16.76,2,0.76,,0.49,0.48,,8.67,,3.82,,,6.14,4.23,0.92,0.91,,1.38,9.75,84.79,23.12,121.44,,8.58,,11.86,46.55,,,6,7085122014.0,Hospital/Nursing Management,Health Services
