Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
ENLT,588.46,44.69,,42.9,,15.6,,,40.6,40.15,,1.13,42.86,0.68,,0.54,0.12,1.1,,143,55.79,11.23,2,,,,25.65,20.08,,24.02,12.42,10.03,22.44,3.9,0.27,,,,31.25,,,,34.87,58.12,2.22,,,33.7,,63.35,1.78,38.13,38.13,,11.92,,,,,,1.71,0.83,,,17.19,,,,2.35,1.1,1.83,7.95,5.24,5.95,,2.84,,,190.67,,,8,1957609651.067926,Alternative Power Generation,Utilities
ENOV,,60.62,,,,,,,,61.76,,2.46,59.89,2.71,,0.09,0.07,2.4,229.29,76.8,60.78,2.96,0.14,,,,,23.8,,10.62,10.01,1.76,2.25,,0.78,,,,22.52,,,9.57,63.83,57.69,,,,,,,0.96,,91.12,,1.95,,,,,,6.54,2.16,,,107.71,,,0.94,10.56,1.08,,,,,,,,28.91,32.26,,,8,2904237782.0,Industrial Machinery,Producer Manufacturing
ENPH,,61.89,,24.3,,55.1,54.6,43.7,43.1,78.86,,,68.31,5.85,,3.18,1.31,4.59,50.59,30.6,79.14,2.17,1.32,,,,29.8,26.07,26.53,38.18,35.71,7.73,6.79,3.36,0.29,25.6,3.51,,42.02,22.17,17.4,6.72,282.99,46.2,52.2,,,19.16,,20.14,17.01,40.02,31.94,0.34,7.36,,,,,28.87,5.82,3.03,,382.72,24.25,36.28,1.28,3.19,23.87,4.19,13.01,170.69,19.4,46.04,,33.52,,2.53,200.77,,,5,16403552293.0,Semiconductors,Electronic Technology
ENR,,45.63,,,,6.2,10.2,1.5,1.2,38.12,3.92,,43.09,1.35,,0.33,0.07,2.03,142.79,72.6,50.02,8.34,20.03,,0.4,3.82,18.86,13.31,16.07,11.77,8.97,1.86,1.87,5.3,0.04,11.66,15.07,3.82,9.83,8.2,,,32.65,37.53,2.19,,,3.21,,12.54,13.18,24.33,10.57,,0.79,,,,,6.77,,,,,5.57,10.38,,1.2,,1.15,2.08,27.81,7.64,56.44,,7.51,,12.44,29.6,,,7,2449083058.0,Household/Personal Care,Consumer Non-Durables
ENS,8.7,33.5,1.1,8.4,,10.5,,9.3,7.6,19.37,0.89,,27.28,3.85,,0.5,0.37,2.67,107.99,47.07,56.25,2.04,0.53,,0.11,0.89,11.96,9.53,11.37,9.78,9.2,1.17,1.16,8.36,0.49,10.22,10.29,1,9.96,12.75,14,2.37,91.04,26.62,7.32,,,7.49,,10.82,2.1,13.61,11.88,3.21,1.01,,1.03,0.65,,9.99,1.66,0.88,,,8.07,11.1,1.38,1.15,5.19,1.53,7.76,25.99,12.42,16.73,,13.88,,11.75,21.21,,,10,3967738819.000001,Electrical Products,Producer Manufacturing
ENSG,28.39,59.22,,20.7,4.7,6.9,6.1,,14.7,63.48,0.25,17.54,60.05,3.09,,0.72,0.28,1.42,,9.46,44.16,5.3,1.25,,0.06,0.2,28.63,22.76,29.73,20.09,16.85,1.95,2.16,3.49,0.36,7.25,4.01,0.2,22.12,23.27,15,9.24,116.41,15.84,31.58,,,5.62,,6.85,4.51,32.58,32.58,1.53,1.82,,,,,25.21,2.63,1.61,,,18.12,30.19,1.3,1.69,4.78,1.42,5.36,10.25,8.6,15.16,,6.38,,,49.13,,,10,5225555356.0,Medical/Nursing Services,Health Services
ENTG,32.92,67.12,,35.6,10.1,11.7,24.6,,25.3,80.64,1.19,12.69,71.52,2.73,,0.87,0.11,4.31,134.51,27.78,49.23,5.92,1.63,,0.14,0.32,43.81,25.46,667.15,29.26,22.42,7.08,6.46,2.28,0.34,0.97,0.19,0.32,41.15,16.18,,5.23,147.55,42.58,1.5,,,5.47,,13.45,5.66,96.16,45.01,2.5,5.18,,1.44,47.89,,551.87,,1.54,,,37.42,138.73,2.97,3.55,,3.34,2,19.24,5.82,6.17,,5.31,,,82.42,,,10,13809961425.999998,Industrial Machinery,Producer Manufacturing
ENV,,57.89,,,,,,,7.3,57.52,,,56.56,1.64,,0.16,0.04,0.75,,14.46,33.18,12.11,1.33,,,,,45.97,,33.53,12.48,2.76,3.08,,0.37,,,,20.12,,,6.07,71.31,62.44,,,,,,,3.84,,27.11,,2.4,,,,,,,0.68,,,26.88,,,2.4,,0.75,,,,,,,,,,,,5,2765973660.0,Packaged Software,Technology Services
ENVA,9.53,53.62,6.7,18.5,,,,16.9,25.5,57.33,,2.55,52.03,2.41,,0.21,0.02,15.79,,65.7,,11.19,2.4,,,,19.81,16.96,4.02,8.54,7.98,1.85,2.13,5.05,0.27,52.97,69.42,,6.75,63.6,,17.95,64.04,48.88,5.25,,,8.27,,10.74,1.3,10.14,8.12,0.4,0.81,,,,,1.56,0.79,,,2.08,1.5,7.73,0.36,0.14,1.72,15.79,4.33,173.93,5.96,14.22,,4.67,,,12.29,,,10,1536596524.0,Finance/Rental/Leasing,Finance
EOG,,41.18,,4.3,43.5,21.7,55.9,51.3,19.9,39.27,12.97,,41.09,4.67,,1.26,1.29,2.43,76.73,163.62,42.49,0.3,0.15,,0.26,3.05,6.37,4.76,11.45,6.29,4.67,2.8,2.74,15.7,0.64,23.92,8.73,3.28,8.24,23.33,,1.05,114.53,76.69,60.62,,,33.34,,39.74,2.33,8.25,9.08,0.56,2.73,,,,,11.5,0.97,0.81,,,5.58,7.87,0.51,1.07,2.33,2.1,18.95,32.87,27.54,30.77,,22.25,,5.46,24.9,,,7,76963236773.0,Oil & Gas Production,Energy Minerals
EPAC,8.7,50.26,2.8,,,29.2,90,,8.6,33.62,0.13,7.04,45.2,5.75,,1.17,0.61,2.83,105.51,66.34,60.05,2.17,0.76,,0.03,0.13,18.44,15.9,39.92,15.97,13.37,2.75,2.99,5.42,0.42,7.48,2.69,0.13,,12.33,,,28.01,50.16,7.74,,,9.46,,17.11,5.2,30.24,22.73,5.41,2.84,,,,,38.82,9.85,1.32,,,32.67,54.03,2.15,2.57,96.38,2.2,7.35,80.69,15.42,17.12,,13.95,,,,,,6,1528265364.0,Industrial Machinery,Producer Manufacturing
EPAM,,47.49,,21.6,,19.8,20,25.6,27,44.28,,24.73,45.11,14.65,,3.15,11.1,4.77,,3.12,70.7,0.25,0.05,,,,25.75,20.91,27.56,,,,3.11,3.88,0.79,11.28,3.25,,,22.36,,,418.18,30.92,,,,9.96,,12.07,5.01,35.69,28.37,1,3.54,,0.91,1.01,,31.36,2.79,0.81,15.42,8.01,29.21,42.36,1.27,2.11,6.16,4.77,11.82,74.54,17.2,15.36,,21.8,,0.99,59.89,,,10,15281937744.999998,Information Technology Services,Technology Services
EPC,,65,2.7,5.3,,12.2,,,6.8,78.38,1.53,,69.38,1.86,,0.46,0.15,2.15,143.44,62.02,20.06,4.81,0.96,,0.24,1.52,14.99,10.53,17.5,12.39,9.14,1.4,1.42,6.67,0.41,8.14,9.38,1.52,14.88,3.93,,2.65,43.76,41.8,3.09,,,4.74,,10.67,1.28,19.34,15.78,,0.89,,,,,11.17,,0.78,,,8.99,11.19,,0.8,,1.03,2.85,37.92,6.64,7.05,,5.83,,8.12,71.73,,,8,1974041835.0000005,Household/Personal Care,Consumer Non-Durables
EPD,4.22,37.55,0.3,2.7,2.3,5,5.3,45.2,21.1,18.21,8.51,0.94,29.98,1.83,,0.01,0.01,0.92,23.36,7.14,49.01,3.4,1.07,,0.79,7.64,12.29,10.08,17.46,11.85,8.77,1.4,1.72,8.14,0.39,9.88,8.62,7.64,9.78,10.99,2.11,,32.55,13.47,5.08,,,11.13,,13.01,2.1,10.41,10.41,1.41,1.16,,,,,11.76,1.24,0.78,,,7.28,13.07,,0.87,3.21,0.65,8.1,15.51,12.34,20.66,,10.61,,9.17,12.55,,,10,58659027345.0,Oil & Gas Pipelines,Industrial Services
EPR,13.61,27.9,1.5,,,1.1,8.3,0.9,,17.45,3.61,12.09,22.56,0.7,,0.86,0.06,3.74,,513.26,29.31,6.63,1.23,,1.07,7.78,20.92,13.24,13.16,,11.24,10.9,9.19,4.78,0.43,69.83,14.47,7.78,15.65,10.23,,,46.52,91.47,3.27,,,25.67,,59.18,1.29,21.97,13.74,,4.81,,,,7.78,6.94,0.89,0.6,,,6.94,,,0.58,1.31,3.74,2.96,148.31,5.22,6.75,,7.06,,7.39,16.18,,,9,3208817779.0,Real Estate Investment Trusts,Finance
EPRT,6.83,44.75,,7,6.9,7.3,16.1,9.7,4.5,45.51,4.59,9.36,43.77,1.67,,0.52,0.02,5.72,534.53,,120.85,4.88,0.56,,1.06,4.55,23.75,16.55,22.65,18.93,12.49,11.09,16.06,4.21,0.63,70.93,6.21,4.64,,11.51,,22.63,26.79,98.77,4.15,,,52.65,,60.51,1.36,20.84,23.55,4.06,11.04,,,,14.6,15.56,1.19,,,,15.56,15.21,3.86,1.05,1.36,5.66,4.25,428.87,5.55,6.69,,5.03,,,,,,6,3663922680.0,Real Estate Investment Trusts,Finance
EQC,,41.11,3.5,,,,,,,38.18,,1.81,38.29,38.39,,67.44,,67.92,,288.6,94.49,,,,,,,,,,,,,,0.98,194.72,5.92,,,,,,27.19,54.38,,,,139.77,,,0.9,26.93,26.93,,34.21,,,,21.9,17.52,1.04,2.14,0.96,1.01,17.52,,,0.81,0.9,67.92,3.28,,1.01,3.36,,,,4.46,12.91,,,8,2073905529.0,Real Estate Investment Trusts,Finance
EQIX,9.01,65.81,,6.2,8,3.1,7.2,,6.4,75.41,2.62,3.12,69.49,2.71,,1.24,0.14,2.05,,72.05,42.1,5.36,1.46,,1.42,1.69,66.91,29.39,261.28,48.28,23.65,10.63,11.99,1.49,0.38,4.59,0.45,1.99,76.34,4.16,19.94,10.15,837.9,48.34,3.54,,,10.95,,17.5,6.76,92.02,91.13,18.99,10.07,,5.11,19.09,29.72,220.39,8.44,1.26,,,26.88,168.5,,7.5,17.58,2.05,2.82,7.85,4.91,7.43,,4.25,,,188.49,,,9,72626964233.0,Real Estate Investment Trusts,Finance
EQNR,,29.56,3.2,24.1,23.2,76.6,,113.3,45.2,20.49,5.06,,26,2.92,,1.07,1.22,1.71,25.42,61.53,48.97,0.63,0.66,,0.31,4.2,1.78,1.4,5.09,2.1,1.63,0.77,0.66,56.18,0.34,12.98,18.03,4.58,7.39,33.58,,,40.34,44.93,21.49,,,11.1,,33.44,1.59,6.7,7.41,0.23,0.74,,,,,5.86,0.77,0.75,,,3.26,3.64,0.29,0.39,1.81,1.61,8.21,70.59,36.61,23.31,,12.93,,10.26,16.38,,,7,98209793093.99974,Integrated Oil,Energy Minerals
EQR,,44.17,,2.1,3.3,,,,0.2,40.6,5.59,,42.2,2.02,,0.06,0.01,0.17,,43.84,,3.87,0.7,,1.64,4.5,27.63,15.15,25.16,31.99,16.39,10.23,10.49,3.62,0.55,41.69,5.37,4.5,37.04,9.18,13.2,5.11,76.9,63.59,3.26,,,29.07,,30.55,2.02,26.75,36.45,8.89,8.02,,,,14.26,19.17,1.81,0.8,,,15.06,16.89,,1.15,2.02,0.17,4.15,235.96,5.61,7.53,,4.34,,7.04,15.29,,,10,23939686937.0,Real Estate Investment Trusts,Finance
EQT,24.82,34.12,,,66.1,137.6,,73.2,26.1,33.86,1.78,,32.91,1.7,,0.03,0.01,0.59,,121.49,60.64,1.06,0.42,,0.29,1.77,5.13,3.62,11.32,10.29,5.39,2.88,3.21,19.49,0.58,28.37,12.6,1.84,12.9,,22,,22.98,36.62,9.85,,,46.96,,31.8,0.99,4.64,16.67,,2.34,,,,,8.3,0.86,1.24,,,3.99,2.95,,0.81,0.99,0.59,12.95,20.5,20.37,24.91,,7.26,,1.87,,,,5,17079631506.0,Oil & Gas Production,Energy Minerals
EQX,12.47,40.28,,30.5,,4.6,,,8.7,33.62,,,38.42,0.97,,1.09,0.4,2.27,113.58,60.63,21.12,4.09,0.47,,,,36.11,7.48,,,,1.42,1.93,2.77,0.55,,,,18.73,,,14.7,6.41,9.47,0.68,,,4.56,,3.57,0.57,28.73,71.83,,1.29,,,,,,1.34,,,,5.02,,,1.73,0.57,1.4,1.2,1.82,1.53,2.03,,38.16,,,,,,2,1605417441.9240685,Precious Metals,Non-Energy Minerals
ERF,,63.52,0.7,0.2,27.2,128.7,124.3,147.3,34.2,80.8,2.71,,70.7,3.63,,0.1,0.16,0.87,,125.04,29.01,0.23,0.23,,0.06,1.48,3.88,2.77,8.66,,,2.14,1.61,25.77,0.58,18.34,12.23,1.59,6.37,,,,14.96,52.36,55.67,,,31.53,,48.82,2.64,5.33,4.42,,1.64,,,,,9,0.72,0.78,,,3.59,4.3,,0.78,2.64,0.87,33.5,60.72,58.88,61.2,,46.83,,21.92,777.5,,,7,3700062847.299748,Integrated Oil,Energy Minerals
ERIC,6.82,40.97,,4.4,21.6,,,,4.2,51.08,14.4,22.2,40.85,1.34,,0.39,0.93,1.2,99.34,75.3,64.59,2.26,0.55,,0.8,4.6,,8.14,112.75,8.84,5.86,0.73,0.75,,0.33,0.81,1.1,4.58,11.51,29.87,,2.37,8.49,38.58,,,,,,,1.95,,17.54,0.69,0.73,,,,,111.38,2.83,0.63,,,26.69,42.89,0.69,0.78,10.36,0.92,,,,,,,,2.93,68.63,,,7,16779336880.784998,Telecommunications Equipment,Electronic Technology
ERII,,40.32,,10.3,,27.1,30.3,,18.8,55.83,,,43.97,19.96,,5.15,6.16,8.91,332.38,16.75,66.12,0.74,0.07,,,,60.88,42.47,48.94,,,,7,1.64,0.87,14.3,1.84,,,1.53,,,23.67,68.29,,,,13.6,,11.5,4.54,57.67,57.67,3.37,7.73,,,,,54.13,3.53,0.92,15.74,7.49,46.99,130.94,,3.87,4.85,6.84,7.29,17.32,6.67,8.46,,11.43,,,81.95,,,7,1297351822.0,Industrial Machinery,Producer Manufacturing
ERJ,42.19,52.53,0.1,,,6,,24.8,2.1,58.07,,19.46,53.65,1.03,,0.59,0.6,1.75,238.37,71.72,17,8.98,1.35,,,,27.53,12.12,,10.47,7.19,0.79,0.99,3.63,0.24,,,,14.66,,,8.9,15.74,19.42,0.91,,,,,3.78,1.26,,4527.5,,0.68,,,,,,50.31,0.98,,,14.47,,,3.3,12.24,0.94,,8.67,2.42,,,32.38,,28.5,,,,5,2668627051.265,Aerospace & Defense,Electronic Technology
ERO,2.18,51.77,,37.6,,16.8,,,15.3,52.82,,,51.71,2.72,,1.29,0.41,2,46.06,52.11,19.02,2.59,0.67,,,,16.25,11.08,,,,2.8,4.35,6.15,0.49,,,,9.01,19.43,,18.86,19.22,39.22,5.58,,,18.15,,22.92,2.24,18.34,17.32,0.58,3.44,,,,,,1.43,,,,9.91,,0.69,,2.24,1.71,6.58,14.74,10.75,14.23,,9.64,,,,,,5,1754247366.4508257,Other Metals/Minerals,Non-Energy Minerals
ES,,45.48,,5.1,6,11.6,6.3,,10.3,60.32,6.38,,49.65,0.71,,0.01,,0.56,19.46,84.74,44.07,8.21,1.66,,0.36,4.91,19.39,14.13,,17.75,11.78,3.37,3.67,5.16,0.28,,,5.2,11.88,,6.35,2.71,109.49,39.59,2.91,,,9.53,,19.3,1.22,16.49,7.37,1.34,1.56,,0.6,,,,0.75,0.63,,,10.24,,,23.5,1.72,0.5,2.16,6.26,4.86,7.5,,3.38,,,14.62,,,10,22414799889.0,Electric Utilities,Utilities
ESAB,41.01,67.96,,,,8.3,8.2,,4.5,76.38,0.26,18.4,70.88,2.77,,0.14,0.07,1.69,90.4,67.35,51.5,2.48,0.79,,0.06,0.25,16.02,13.53,25.6,14.97,12.91,2.41,2.35,6.24,0.4,9.18,4.64,0.27,18.76,,11.8,3.94,0.0,35.84,5.22,,,7.85,,14.67,3.62,25.56,23.22,,1.99,,,,,21.71,,,,,18.29,,,,,0.99,5.75,55.17,12.85,15.44,,9,,,,,,4,4115715080.0,Industrial Machinery,Producer Manufacturing
ESE,8.23,35.19,0.3,6,,28.7,10.3,1.1,9.7,24.26,0.33,,31.3,4.74,,0.13,0.3,1.85,114.01,49.79,68.4,0.78,0.12,,0.09,0.33,21.48,15.35,65.92,,,,2.87,4.66,0.67,5.85,2.25,0.33,,8.16,,,108.18,39.29,14.78,,,9.68,,13.56,2.23,27.17,27.01,3.51,2.63,,1.74,3.66,,59.84,3.59,1.05,,86.5,32.82,60.46,4.89,1.61,10.68,1.26,5.54,43.99,9.35,8.52,,6.97,,2.25,33.24,,,10,2722638535.0,Electronic Equipment/Instruments,Electronic Technology
ESI,12.29,57.77,1.3,2.9,,9.9,29.5,23.5,13.7,69.02,1.41,8.58,60.44,1.67,,0.87,0.16,3.45,81.28,37.58,71.52,5.96,0.91,,0.68,1.39,40.36,21.03,26.11,14.78,13.57,2.99,3.09,2.48,0.45,11.81,4.97,1.39,15.82,13.34,,0.09,20.34,39.26,5.31,,,2.3,,11.06,2.49,104.45,48.79,3.13,2.36,,,,,20.1,,1.36,,,16.95,31.85,5.21,1.22,,2.59,1.09,20.16,3.89,2.33,,2.34,,0.96,,,,4,4716314277.0,Chemicals: Major Diversified,Process Industries
ESLT,24.05,46.14,,8.6,4.4,5.6,,,6.3,40.93,1.08,,44.42,1.62,,0.03,0.09,1.12,172.5,91.42,148.13,2.93,0.57,,0.3,0.97,27.24,19.21,,,,,1.82,3.67,0.3,,,0.97,,12.73,,,146.63,25.3,3.97,,,4.62,,7.21,3.2,33.81,31.1,6.22,1.55,,2.49,,,,3.63,1.23,,,,,2.46,3.88,9.57,0.64,2.86,19.51,8.08,9.82,,5.48,,1.12,29.4,,,10,8858517924.730385,Aerospace & Defense,Electronic Technology
ESRT,28.53,52.21,4,,,5.9,,,3.1,60.96,0.33,15.74,53.43,0.83,,2.23,0.16,4.48,,34.82,14.95,5.9,2.23,,0.67,1.42,18.15,9.16,15.11,25.02,10.31,4.79,4.84,5.51,0.24,32.04,14.59,1.42,75.76,11.71,,1.58,9.95,54.12,1.42,,,7.79,,19.9,1.62,29.82,47.08,,3.6,,,,12.94,11.17,4.41,0.58,,,11.17,,,0.88,9.28,4.48,1.36,614.32,4.82,5.76,,3.73,,5.91,25.89,,,8,1383845455.0,Real Estate Investment Trusts,Finance
ESS,4.84,40.07,0.8,,4.1,1,,0.2,3.7,35.27,5.03,2.72,36.46,1.53,,,0.08,,,135.19,2.5,5.26,1.16,,1.73,4.02,31.82,17.19,25.86,35.33,18.05,12.01,12.28,3.14,0.44,47.5,5.37,4.02,39.68,7.13,13.15,2.46,306.67,68.17,2.47,,,24.31,,31.52,2.72,36.42,43.01,19.55,8.87,,2.78,1.38,16.48,18.66,2.28,0.75,,,15.67,15.71,,1.24,2.72,,3.29,983.86,5.35,7.28,,4.39,,5.77,32.55,,,10,14455363768.0,Real Estate Investment Trusts,Finance
ESTA,,63.86,,,,,,,14.9,58.61,,,62.26,1.44,,1.04,0.28,3.71,277.13,125.97,87.98,,6.2,,,,,,,,,10.16,6.64,,0.11,,,,,,,,85.35,64.57,,,,,,,32.34,,,,5.45,,,,,,,,,,,,,,40.61,2.36,,,,,,,,,,,,,1340076881.0,Medical Specialties,Health Technology
ESTC,75.01,68.95,,,,3.3,,,27.2,79.57,,84.87,72.22,5.73,,1.41,1.63,1.89,,37.37,67.1,,1.3,,,,,,183.23,,,8.51,10.56,,0.26,5.76,0.51,,82.64,,77.18,19.82,107.98,73.56,,,,,,,28.53,,401.2,,10.98,,,,,189.82,42.06,,,,180.87,,,36.42,99.53,1.89,,,,,,,,,,,,,7705228876.000001,Packaged Software,Technology Services
ET,9.72,45.8,,9.4,,0.7,,32.2,12.3,30.01,5.31,7.86,40.03,1.4,,0.04,0.01,1.05,13.3,39.88,39.24,4,1.48,,0.96,8.93,11.97,7.78,15.16,8.88,6.28,1.07,1.21,8.35,0.31,7.99,13.4,9.04,8.21,7.53,7.57,2.53,11.83,17.11,3.2,,,4.79,,10.12,1.32,13.15,11.27,,0.55,,,,,6.91,0.93,1.18,,,4.56,10.92,,0.74,1.73,0.85,3.56,9.66,8.44,11.36,,7.87,,10.56,12.12,,,9,42716184034.0,Oil & Gas Pipelines,Industrial Services
ETN,43.17,81.26,1.3,3.3,4.5,4.6,6.1,,0.6,90.97,1.66,9.94,85.5,4.88,,0.34,0.27,1.51,89.78,79.13,68.13,2.1,0.52,,0.38,1.24,29.22,24.88,41.69,24.78,21.09,4.74,5.01,3.42,0.5,12.02,2.51,1.24,27.25,9,10.34,10.54,187.5,36.36,25.56,,,13.88,,16.75,5.83,34.66,30.51,50.85,4.79,,,,,39.95,,2.9,,,31.78,35.31,4.67,3.07,,1.02,8.79,62.43,13.39,17.91,,10.22,,1.4,47.35,,,10,86838359756.0,Electrical Products,Producer Manufacturing
ETNB,,30.29,,,,36.7,50.7,40.2,,22.68,,,25.36,,,17.78,,18.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.56,,,,,,,,,,,,1.6,1.56,,,,,1.56,18.23,,,,,,,,,,,,,1310348136.0000002,Pharmaceuticals: Major,Health Technology
ETR,0.93,41.06,,6.2,3.9,0.4,,,6.6,34.73,5.21,7.71,38.43,0.87,,0.26,0.06,0.91,70.72,77.93,22.26,5.55,2.01,,0.63,4.49,16.82,9.39,,15.77,9.41,3.47,3.67,5.95,0.23,,,4.61,13.57,,8.45,3.08,115.16,42.68,3.01,,,11.59,,22.44,1.51,14.07,14.51,3.63,1.62,,,,,,1,1.16,,,5.17,,2.08,,1.56,0.65,2.48,6.42,5.19,11.31,,3.95,,1.43,21.72,,,8,20807231060.0,Electric Utilities,Utilities
ETRN,60.96,45.8,,,,,,211,,42.99,5.92,7.85,43.25,0.26,,0.28,0.03,0.75,20.43,55.22,62.1,6.34,4.25,,0.85,5.89,15.32,10.69,27.24,12.78,9.27,8.35,8.73,6.53,0.15,32.03,10.08,5.89,11.15,,,6.35,7.82,75.33,1.62,,,27.15,,48.9,4.37,13.95,14.34,,3.18,,,,,9.97,,,,,5.39,9.99,,0.91,,0.75,3.56,10,7.81,23,,6.82,,3.11,,,,4,4159305634.0,Oil & Gas Pipelines,Industrial Services
ETSY,,59.51,,,,,11.6,50.1,46,74.78,,,65.66,2.89,,1.78,0.41,2.45,,142.9,32.09,,,,,,,,15.3,19.61,13.9,3.76,3.81,,,24.9,7.23,,20.75,23.86,3,9.08,148.52,70.56,,,,12.3,,13.7,,32.67,28.17,,3.74,,,,,14.78,,,,,14.26,35.17,,1.88,,2.45,13.24,,,,,32.68,,7.1,190.46,,,5,7988516079.000001,Internet Retail,Retail Trade
ETWO,,52.52,,29.9,,,73.2,,,59.78,,,54.69,,,0.37,0.1,0.96,,35.06,69.28,,0.71,,,,,,41.58,11.71,9.89,3.44,3.35,,0.48,8.05,4.29,,7.33,,,2.15,6.79,50.47,,,,,,,0.79,,985,,1.86,,,,,23.19,,,,,14.52,,,,,0.96,,,,,,,,,,,,,1691047228.0,Packaged Software,Technology Services
EURN,7.82,64.71,,4.4,43.8,19.5,8.3,,5.9,76.87,17.8,1.15,71.93,4.28,,1.09,0.48,4.15,22.83,63.49,106.21,0.71,0.38,,1.29,17.8,3.91,3.23,8.19,5.57,4.17,2.72,3.29,25.58,0.7,40.3,13.84,17.8,5.8,14.25,,19.56,24.41,51.72,3.5,,,69.42,,48.55,1.54,4.17,7.23,0.34,2.9,,,,,7.24,0.71,1.09,,6.06,4.3,3.76,0.7,1.25,1.55,4.1,21.92,29.47,28.9,38.55,,16.7,,28.97,17.29,,,7,3162310760.913043,Marine Shipping,Transportation
EVCM,,48.22,,,,,44.9,,,54.14,,,48.97,1.61,,0.8,0.16,1.65,,14.18,26.98,5.06,0.62,,,,,22.1,31.29,,,3.18,3.49,,0.56,11.15,3.97,,18.83,,30,9,0.0,65.63,,,,,,,2.18,,,,2.82,,,,,25.37,,,,,19.72,,,,,1.65,,,,,,,,3.79,,,,,1793036575.0000002,Packaged Software,Technology Services
EVEX,12.05,42.81,,,,,,,,51.4,,,44.74,,,3.78,,5.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.51,,,,,,,,,,,,14.84,8.62,,,,,8.51,5.62,,,,,,,,,,,,,2374025603.0,Aerospace & Defense,Electronic Technology
EVGO,,41.98,,,,,,,46,56.39,,,45.78,0.12,,2.48,4.09,3.02,,30.41,76.98,,,,,,,,,,,0.22,0.4,,,,,,,,,,0.0,3.67,,,,,,,,,,,1.31,,,,,,,,,,,,,,,3.02,,,,,,,,,,,,,1178798244.0000002,Specialty Stores,Retail Trade
EVH,1.92,52.07,,,,,41.8,17.5,20,68.45,,16.49,55.6,1.52,,0.3,0.28,1.04,,16.18,58.9,,0.6,,,,,,71.95,19.25,14.81,1.71,2.23,,0.41,3.1,1.57,,27.62,,,26.57,39.41,24.68,,,,,,,3.17,,,,1.81,,,,,58.61,,,,,36.45,,,8.1,,1.04,,,,,,,,,,,,2,2967005566.0,Miscellaneous Commercial Services,Commercial Services
EVO,,35.05,,28.4,,,,21.3,12.6,41.99,,,36.63,1.52,,1.43,1.05,2.16,25.93,79.53,93.54,,0.52,,,,,,,,,2.5,4.07,,0.51,,,,178.57,22.01,,15.63,16.38,27.44,,,,,,,2.15,,,,4.05,,,,,,,0.6,,,,,,2.25,2.9,2.09,,,,,,,,,94.25,,,7,4270653341.1357794,Pharmaceuticals: Major,Health Technology
EVRG,,38.6,,3,6.5,3.5,8.7,,5.8,35.05,7.34,,36.34,0.63,,0.01,,0.39,86.84,53.71,0.79,5.59,1.31,,0.68,5.1,20.14,10.47,,16.15,18.69,4.53,4.27,4.97,0.32,,,5.29,12.69,7.42,,,42.67,47.74,2.44,,,12.16,,21.98,1.16,16.58,13.71,1.99,2.02,,,,,,0.96,0.73,,,6.05,44.94,1.86,1.38,1.52,0.24,2.28,5.2,4.57,7.11,,3.98,,,15.29,,,10,12436075002.0,Electric Utilities,Utilities
