Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
SQSP,36.62,57.42,,51.7,,,,,,66.47,,,59.46,0.64,,0.4,0.31,0.62,,18.34,4.8,,,,,,,,288.91,36.83,28.58,4.31,4.93,,,1.71,0.38,,46.51,,,16,0.0,81.66,2.81,,,,,9.64,,,,,4.58,,,,,300.97,,,,,21.29,,,,,0.62,,,,,,16.8,,0.87,,,,2,4039537988.0,Information Technology Services,Technology Services
SR,,44.15,,4.4,5,18.9,0.8,,11.9,49.51,6.41,2.49,45.36,0.66,,,,0.55,58.25,62.74,50.37,6.77,1.56,,0.8,5,18.54,11.68,,16.29,11,3.07,3.14,5.39,0.29,,,5.18,13.61,,5.7,2.04,76.19,33.89,2.12,,,8.11,,15.62,1.14,15.73,15.99,1.84,1.17,,,,,,1.18,0.69,,,4.52,520.95,1.68,,1.96,0.43,2.06,6.77,5.26,7.17,,3.28,,,14.03,,,10,3190380397.9999995,Gas Distributors,Utilities
SRAD,,45.51,,65.6,,12.1,,,20.1,55.2,,,46.28,3.82,,1.01,10.67,1.56,,434.21,26.83,0.13,0.03,,,,121.09,12.3,71.19,18.56,13.79,2.55,3.12,0.83,0.57,4.38,1.26,,46.51,,,17.04,0.0,80.48,2.18,,,,,7.41,13.93,,290.28,,3.79,,,,,117.36,,,,,14.96,,,,,1.56,,55.73,1.9,,,18.49,,13.16,,,,4,3153458668.0,Packaged Software,Technology Services
SRC,5.74,41.24,,,1.3,1,,,,20.1,4.6,4.42,31.97,0.61,,0.58,0.04,1.08,,2446.86,,5.39,0.85,,2.11,6.3,24.87,13.89,23.31,27.02,14.32,12.93,13.14,4.02,0.52,56.37,7.05,6.33,29.84,7.85,,4.67,43.5,95.82,2.43,,,34.57,,43.97,1.38,24.18,33.5,,7.95,,,,11.63,14.11,1.55,1.05,,,11.43,11.37,,0.87,1.61,1.08,3.04,,4.77,5.71,,3.91,,,31.76,,,8,5147287867.0,Real Estate Investment Trusts,Finance
SRCL,,51.57,,0.9,,137.9,,7.6,,55.87,,7.39,52.11,1.89,,0.05,0.02,0.9,,44.66,59.25,5.58,0.72,,,,62.84,19.54,27.99,25.41,13.42,2.29,2.32,1.59,0.47,8.29,4.92,,21.65,,12.25,2.24,53.34,37.81,1.89,,,,,5.49,1.82,,39.02,1.55,1.66,,,,,20.31,,0.89,,,12.88,36.36,,1.27,,0.9,,8.62,2.11,,,,,4.47,118.85,,,6,4138493462.000001,Environmental Services,Industrial Services
SRE,,34.85,,11.3,5.8,,8.9,,5.9,27.66,4.76,6.2,31.27,1.04,,0.13,0.04,0.61,14.38,70.3,47.88,5.33,1.09,,0.5,3.42,20.79,12.94,,16.5,10.66,4.57,4.46,4.81,0.33,,,3.42,14.49,,,4.41,83.02,37.39,2.71,,,16.64,,20.37,1.6,16.11,14.78,,2.62,,,,,,1.06,0.91,,,9.17,,,5.55,1.72,0.55,3.44,7.1,4.99,10.06,,3.06,,,20.02,,,10,46002350163.00001,Electric Utilities,Utilities
SRPT,,71.61,,,,8.8,4.2,16.6,27.2,73.7,,15.88,72.79,1.48,,3.85,1.26,5.44,585.6,276.5,78.99,,1.79,,,,,,,10.67,10.28,4.49,10.46,,0.25,,,,11.85,,,,169.47,87.61,,,,,,,15.53,,,,10.14,,,,,,,0.34,,112.35,,,,,15.95,4.9,,,,,,,,,,,,,11044221920.0,Pharmaceuticals: Major,Health Technology
SSD,66.85,59.62,1.3,18.1,4.2,35.1,40.8,27.3,24.8,71.13,0.7,17.97,63.14,6.73,,1.19,0.8,3.63,169.25,30.81,53.81,1.01,0.32,,0.13,0.56,17.28,15.52,18.24,,,,3.72,5.79,0.62,20.39,5.5,0.56,,22.77,,,166.37,47.15,376.08,,,15.99,,21.66,4.89,23.29,22.99,0.84,3.73,,0.74,0.66,,18.24,3.21,1.46,,28.55,15.4,17.83,0.91,1.84,10.11,2.11,13.31,46.88,20.83,22.59,,18.43,,,45.16,,,10,6486272858.0,Building Products,Producer Manufacturing
SSL,,27.35,,8.8,,,,,12.7,17.92,11.79,,23.98,1.66,,0.6,0.38,1.51,93.08,57.52,42.56,5.97,0.71,,0.44,11.82,7.17,7.17,5.25,,,,0.61,13.95,0.45,11.82,38.48,11.82,,,,,17.83,41.74,5.84,,,3.04,,18.22,0.47,9.64,2.7,,0.33,,,,,2.73,0.25,0.25,,,2.73,6.73,,1.14,0.48,1.04,2.07,9.14,6.82,4.52,,9.74,,,8.84,,,9,8119428768.1674,Chemicals: Major Diversified,Process Industries
SSNC,,53.82,0.5,6.2,23.5,3,14.1,,4.8,53.55,4.71,7.29,52.19,1.78,,0.23,0.06,1.14,,5.58,51.16,3.55,1.15,,0.22,1.44,16.44,10.84,22.3,15.3,10.34,3.81,3.98,6.08,0.38,17.83,6.41,1.57,11.82,18.93,11.7,2.7,72.63,47.52,2.56,,,11.42,,21.66,2.46,25.19,15.63,0.8,2.86,,0.5,0.52,,16.1,,0.64,,,13.01,16.17,1.28,0.81,,1.14,3.82,225.34,9.16,10.28,,5.5,,4.74,35.65,,,10,13736654120.0,Information Technology Services,Technology Services
SSRM,,41.13,,24.7,,5.6,3.1,25.1,5.9,54.54,2.97,,45.74,1.72,,2.81,1.4,6.97,195.25,23.68,20.7,0.72,0.09,,0.34,2.93,6.62,3.84,14.19,5.75,3.76,1.43,1.36,15.11,0.63,9.62,6.47,2.93,14.47,16.65,,5.16,19.6,26.35,10.39,,,16.31,,15.99,0.54,9.65,11.51,0.9,1.52,,,,,15.8,0.53,0.56,,,5.97,14.52,0.93,0.48,0.54,3.76,3.96,6.4,5.23,5.97,,4.31,,8.39,30.81,,,7,3062137468.1975427,Precious Metals,Non-Energy Minerals
SSTK,,47.71,,10.5,,30.7,46.5,9.4,7.4,53.77,2.36,10.38,48.05,3.55,,0.18,1.22,0.64,,7.34,26.31,0.29,0.12,,0.22,2.33,11.98,7.51,14.61,,,,1.79,8.35,0.52,12.26,6.49,2.59,,27.05,,,84.49,60.61,46.83,,,13.52,,10.58,3.11,14.24,9.91,0.44,1.89,,0.43,1,,15.29,,0.61,,,9.76,14.81,0.4,0.85,,0.64,12.91,168.47,24.28,24.59,,8.71,,3.66,28.05,,,10,1473094207.0,Internet Software/Services,Technology Services
ST,,36.28,1.3,4.9,,,17.8,,11.4,25.7,1.43,,31.73,1.43,,0.62,0.15,2.55,87.84,67.51,68.16,7.15,1.13,,0.13,1.43,46.48,16.49,28.82,11.62,8.74,1.9,1.93,2.15,0.39,6.71,5.46,1.46,8.79,7.69,9.71,3.98,49.74,31.11,3.7,,,,,13.76,1.66,,9.13,,1.23,,,,,18.45,,0.53,,,11,,,0.78,,1.69,,10.7,2.28,,,,,13.32,15.05,,,9,5775286141.999999,Electronic Equipment/Instruments,Electronic Technology
