SmartScore,Ticker,Price,Market Capitalization,Sector,Industry
4,HRL,31.85,17405424522.0,Consumer Non-Durables,Food: Meat/Fish/Dairy
4,HPQ,29.41,29064983428.0,Electronic Technology,Computer Processing Hardware
4,HPE,16.12,20679780784.0,Electronic Technology,Computer Processing Hardware
7,HON,197.79,130393173794.99998,Electronic Technology,Aerospace & Defense
6,HOLX,69.22,16612993579.999998,Health Technology,Medical Specialties
3,HMC,30.6,54964606755.80941,Consumer Durables,Motor Vehicles
7,HLT,170.43,43705119749.0,Consumer Services,Hotels/Resorts/Cruise lines
7,HLN,8.22,37646218780.30561,Distribution Services,Medical Distributors
8,HIG/PG,25.1,23547268380.0,Finance,Multi-Line Insurance
8,HIG,78.29,23547268380.000004,Finance,Multi-Line Insurance
8,HES,132.23,40615608594.0,Energy Minerals,Integrated Oil
2,HEI.A,142.57,21625087518.0,Electronic Technology,Aerospace & Defense
7,HEI,177.73,21625087518.0,Electronic Technology,Aerospace & Defense
7,HDB,63.36,148324888435.7735,Finance,Regional Banks
9,HD,326.17,324624587892.0,Retail Trade,Home Improvement Chains
6,HCA,253.95,67972466362.0,Health Services,Hospital/Nursing Management
8,HBAN,11.86,17174169870.999998,Finance,Major Banks
8,HAL,34.42,30807679865.0,Industrial Services,Oilfield Services/Equipment
5,H,120.82,12461246748.0,Consumer Services,Hotels/Resorts/Cruise lines
8,GWW,807.4,40074612020.0,Distribution Services,Wholesale Distributors
6,GSK,36.0,73803200273.66402,Health Technology,Pharmaceuticals: Major
8,GS/PK,25.3,112384873434.0,Finance,Investment Banks/Brokers
8,GS/PD,21.63,112384873434.0,Finance,Investment Banks/Brokers
8,GS/PC,21.68,112384873434.0,Finance,Investment Banks/Brokers
8,GS/PA,21.48,112384873434.0,Finance,Investment Banks/Brokers
8,GS,344.62,112384873434.0,Finance,Investment Banks/Brokers
8,GRMN,124.39,23799673572.0,Electronic Technology,Telecommunications Equipment
6,GRAB,3.11,12006615604.0,Transportation,Other Transportation
9,GPN,119.87,31212776180.0,Commercial Services,Miscellaneous Commercial Services
8,GPC,134.28,18825602601.0,Distribution Services,Wholesale Distributors
10,GOOGL,136.93,1722517812790.0,Technology Services,Internet Software/Services
7,GOOG,138.45,1722517812790.0,Technology Services,Internet Software/Services
4,GOLD,17.22,30238320098.526043,Non-Energy Minerals,Precious Metals
4,GMAB,32.36,21040469147.86962,Health Technology,Pharmaceuticals: Major
5,GM,33.51,45891312753.0,Consumer Durables,Motor Vehicles
5,GLW,29.01,24750603050.000004,Electronic Technology,Electronic Components
6,GLPI,46.36,12378848782.0,Finance,Real Estate Investment Trusts
4,GL/PD,18.91,11506016441.0,Finance,Life/Health Insurance
4,GL,122.25,11506016441.0,Finance,Life/Health Insurance
5,GIS,66.39,38591128113.0,Consumer Non-Durables,Food: Major Diversified
9,GILD,78.05,97253571765.0,Health Technology,Biotechnology
7,GIB,104.02,24016654550.507595,Technology Services,Information Technology Services
5,GGG,82.24,13881130572.0,Producer Manufacturing,Industrial Machinery
6,GFS,52.76,28899553138.0,Electronic Technology,Semiconductors
4,GFL,28.64,10596369785.129944,Industrial Services,Environmental Services
8,GFI,14.41,12839419398.581102,Non-Energy Minerals,Precious Metals
7,GEN,22.27,14268729377.999998,Technology Services,Packaged Software
3,GEHC,67.39,30678824209.0,Health Technology,Medical Specialties
9,GE,119.48,130040361300.0,Producer Manufacturing,Industrial Machinery
7,GDDY,103.87,14659226260.0,Technology Services,Data Processing Services
9,GD,251.49,68630838128.00001,Electronic Technology,Aerospace & Defense
9,FWONK,61.84,23005370099.0,Consumer Services,Movies/Entertainment
9,FWONA,56.2,23005370099.0,Consumer Services,Movies/Entertainment
2,FTV,69.06,24270001019.0,Electronic Technology,Electronic Equipment/Instruments
4,FTS,40.86,19960109725.638523,Utilities,Electric Utilities
5,FTNT,51.32,39409120793.0,Technology Services,Information Technology Services
7,FSLR,144.18,15404797092.999998,Electronic Technology,Semiconductors
2,FOXA,29.33,13776997999.999998,Consumer Services,Broadcasting
