,Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year
774,ES,-27.13,48.04,-1.8,5.1,6,11.6,13,-2.4,10.3,69.6,5.22,-16.35,56.02,0.82,,0.01,,0.64,17.24,80.02,42.11,7.21,1.6,Grey,0.78,4.09,20.07,13.71,-27.4,18.08,12.1,3.52,3.73,4.98,0.29,4.2,13.81,-0.07,6.4,3.96,40.25,3.12,,,9.28,WACC vs ROIC,18.86,1.44,19.08,19.08,3.47,1.79,4/9,1.56,,,,1.31,0.71,,,10.17,,3.64,18.09,2.03,0.57,2.23,6.51,5.01,7.63,,3.37,Beneish M-Score,-8.35,17.26,ROIC,,10
775,ESAB,83.66,42.21,-0.1,,,8.3,9.1,-5.7,4.5,25.52,0.31,20.72,35.91,2.31,,0.12,0.06,1.73,93.47,70.54,52.54,2.74,0.84,Grey,0.06,0.31,13.69,11.53,23.21,13.09,11.22,1.96,1.97,7.3,0.39,0.35,15.22,,8.72,2.83,35.15,5.61,,,7.83,WACC vs ROIC,14.38,2.73,19.8,19.57,,1.57,N/A/9,,,,18.34,,,,,15.38,,,,,1.01,5.64,52.6,12.41,15.65,,8.68,Beneish M-Score,-19.06,,ROIC,,4
776,ESE,34.05,58.14,0.2,8.4,,4,2.1,7.6,5.7,71.46,0.31,19.75,61.31,4.51,,0.18,0.3,1.92,115.28,48.6,67.26,1.05,0.17,Grey,0.09,0.3,22.44,16.1,32.65,,,,3.02,4.46,0.65,0.3,,6.11,,,39.32,15.68,,,9.74,WACC vs ROIC,13.66,2.46,29.92,29.92,9.97,2.91,8/9,2.28,1.7,,31.72,4.22,1.18,,,22.38,31.03,,1.87,13.4,1.3,5.5,43.88,9.26,8.59,,6.9,Beneish M-Score,1.5,36.92,ROIC,,9
777,ESGR,24.03,46.7,6.5,5.8,,,,-39,,41.28,,12.62,45.22,,,,,,,,,,,,,,10.06,9.7,6.94,,,,24.46,9.94,,,,-12.59,,,,,,,152.17,,,0.91,18.8,18.8,,17.52,,,,,5.05,0.87,,,,5.05,,,0.24,0.91,,1.6,,,7.53,,2.75,,-1.3,11.95,,,8
778,ESI,6.64,43.17,1.3,2.9,,9.9,35.7,23.5,13.7,35.85,1.64,6.35,39.68,1.56,,0.75,0.14,3.32,79.84,38.16,73.35,4.83,0.89,Grey,0.57,1.64,24.81,15.46,20.61,14.43,11.76,2.58,2.78,4.03,0.46,1.64,12.59,17.29,,0.98,38.09,5.43,,,5.9,WACC vs ROIC,10.98,2.05,34.26,34.88,2.24,1.95,6/9,,,,14.69,,1.15,,,12.71,15.54,2.72,1.05,,2.44,2.8,29.64,5.74,5.94,,3.73,Beneish M-Score,1.13,,ROIC,,4
779,ESLT,3.48,46.51,-0.1,8.6,4.4,5.6,5.9,,6.3,47.38,1.1,16.34,47.33,1.57,,0.03,0.09,1.11,168.82,93.3,152.49,2.98,0.56,Grey,0.34,1,28,19.47,-318.27,,,,1.79,3.57,0.29,1,,13.33,,,25.26,4.47,,,4.66,WACC vs ROIC,6.83,3.14,33.44,33.44,6.69,1.53,3/9,2.9,,,,3.81,1.28,,,54.19,,2.58,3.54,9.86,0.65,2.83,19.59,7.51,9.87,,5.15,Beneish M-Score,2.02,28.52,ROIC,,10
780,ESMT,-17.03,54.57,,,,,,,,61.85,,-9.14,58.27,23.5,,6.54,11.15,7.14,,4.62,12.24,0.57,0.04,Grey,,,79.54,50.2,52,,,,7.61,1.26,0.91,,,,,,76.69,49.96,,,5.82,WACC vs ROIC,6.98,3.59,147.67,147.67,,8.67,6/9,,,,59.48,7.64,,11.58,10.36,51.11,,,,8.86,7.14,2.29,79.46,3.97,2.5,,2.59,Beneish M-Score,0.11,,ROIC,,1
781,ESNT,31.89,43.96,-3.1,11,42.1,10.9,10.9,-3.1,0.7,41.76,1.97,37.43,41.02,,,,,,,,,,,,0.15,1.99,6.88,6.86,8.1,,,4.92,5.56,14.53,,2.03,7.42,23.4,,4.93,,,,,65.94,,,1.11,7.92,7.92,0.6,5.26,,,,,7.7,0.63,0.87,1.37,,7.66,8.27,0.72,0.47,1.11,,11.64,,,14.91,,12.38,,3.89,10.45,,,10
782,ESRT,16.18,50.16,4,-4.3,-30.7,5.9,-7.7,,3.1,34.07,0.37,26.02,45.12,0.78,,2.16,0.14,4.66,,34.87,15.72,6.08,2.28,Grey,0.48,1.63,18.51,9.14,14.61,23.76,9.8,4.55,4.74,5.4,0.24,1.63,66.23,10.59,-5.67,0.97,53.78,1.36,,,7.04,WACC vs ROIC,19.18,1.43,29.62,29.62,,3.23,8/9,,,11.76,9.96,3.49,0.51,,,9.96,,,0.79,9.24,4.66,1.21,582.81,4.59,5.18,,3.55,Beneish M-Score,4.8,22.61,ROIC,,8
783,ESS,-8.72,34.74,0.8,-2,4.1,1,-2,0.2,3.7,33.19,5,9.86,31.67,1.55,,0.42,0.03,0.84,,131.89,2.54,4.6,1.08,Grey,1.1,4,26.62,15.53,25.44,32.53,17.38,11.57,12.27,3.76,0.46,4.1,37.74,7.38,13.21,4.62,68.52,2.62,,,32.13,WACC vs ROIC,31.95,2.59,27.4,27.4,12.45,8.78,7/9,1.5,1.35,16.08,18.25,1.78,0.74,,,15.27,15.12,,1.23,2.59,0.84,4.28,1144.68,6.36,9.33,,4.34,Beneish M-Score,4.62,31.72,ROIC,,10
784,ESTA,-9.43,32.33,-5.7,,,-23.1,-18.3,-25.2,14.9,18,,-17.37,28.21,2.82,,2.08,0.49,4.83,229.95,111.38,78.76,-4.68,3.39,Grey,,,-32.88,-36.59,-12.81,-72.8,-91.06,10.16,8.21,-3.04,0.19,,,,,,64.66,,,,-34.35,WACC vs ROIC,-25.71,24.41,,,,7.34,3/9,,,,,,,,,,,,,26.66,3.53,-27.83,-42.67,-24.5,-632.9,,-39.9,Beneish M-Score,-5.51,,ROIC,,
785,ESTC,-25.86,71.31,-5.5,-6.4,,3.3,-5.2,,27.2,70.72,,12.95,74.26,3.44,,1.42,1.62,1.85,,38.68,65.67,-4.22,1.44,Grey,,,-46.05,-52.64,91.72,-60.75,-83.42,5.89,6.64,-2.17,0.24,,82.64,,63.59,18.34,72.94,,,,-19.33,WACC vs ROIC,-14.63,18.68,,,,6.84,6/9,,,,95.36,,,,,92.14,,,23.3,93.2,1.85,-13.06,-569.15,-15.77,-54.3,,-19.57,Beneish M-Score,-0.04,,ROIC,,
786,ESTE,-0.2,58.07,-53.1,9.8,,64,522.7,-57.1,39.3,34.95,,31.33,50.53,2.01,,0.13,0.05,0.55,,26.51,38.83,0.8,0.59,Grey,,,3.53,2.39,-40.61,2.9,1.94,1.41,1.72,28.33,0.43,,3.99,2.17,10,7.23,50.47,9.09,,,25.4,WACC vs ROIC,45.11,1.19,4.65,4.65,,1.18,5/9,,,,,0.5,0.62,,,1.86,3.9,0.22,,1.19,0.55,11.96,24.76,25.58,29.03,,18.29,Beneish M-Score,-34.84,,ROIC,,6
787,ET,4.41,57.88,-4.8,9.4,-10.7,0.7,1.7,32.2,12.3,52.04,5.22,5.19,56.7,1.4,,0.03,0.01,0.81,12.42,39.44,38.67,3.95,1.46,Grey,0.92,8.74,11.15,7.36,13.91,9.42,6.48,1.01,1.13,8.97,0.32,9.12,7.79,5.05,2.1,0.89,16.42,3.2,,,5.18,WACC vs ROIC,9.63,1.27,11.33,11.33,,0.52,5/9,,,,6.49,0.92,1.11,,,4.14,9.45,,0.76,1.66,0.64,3.95,9.95,8.67,12.67,,7.7,Beneish M-Score,9.83,11.92,ROIC,,9
788,ETG,-3.22,40.63,-0.1,-2.9,8.2,,,7.6,,34.96,9.45,9.68,38.67,,,,,,,,,,,,2.51,7.78,,,16.23,,,,36.89,,,7.41,,9.29,,,,,,,97.26,,,0.91,29.42,29.42,58.84,28.5,,,,,12.38,1.09,,,,12.38,,,,0.91,,2.47,,,3.18,,,,8.49,,,,3
789,ETN,54.45,42.45,1.3,3.3,4.5,4.6,5.4,-10.8,0.6,22.76,2.07,36.84,34.52,4.2,,0.2,0.14,1.53,88.88,77.53,67.44,2.25,0.55,Grey,0.49,1.56,28.57,22.38,35.88,19.87,17.16,3.85,4.41,3.5,0.49,1.58,22.32,6.51,9.99,8.56,34.51,19.72,,,12.29,WACC vs ROIC,15.48,4.83,32.15,32.15,53.58,3.93,8/9,,,,32.21,,2.35,,,26.14,30.09,,2.47,,0.99,7.66,55.34,11.98,15.96,,9.02,Beneish M-Score,1.89,38.05,ROIC,,10
790,ETNB,186.32,54.31,-54.2,-22.8,,36.7,50.7,40.2,,55.9,,30.96,55.81,,,18.42,,18.96,,,,,,,,,-7.71,-7.71,-8.31,-4.33,-4.39,,,-12.97,,,,,,,,,,,,,,2.96,,,,,,,,,,,,3.07,2.97,,,,,2.96,18.96,-38.72,-29494.85,-41.01,-46.62,,-1892.5,,-7.23,,,,
791,ETR,-17.94,58.46,-2,6.2,3.9,0.4,-5.2,-14.1,6.6,75.49,5.02,-9.96,65.23,0.86,,0.2,0.04,0.8,60.85,75.56,20.24,5.71,2.06,Grey,0.64,4.35,18.16,9.82,-33.31,15.82,9.44,3.49,3.53,5.51,0.22,4.35,13.66,-6.89,6.55,0.75,39.3,2.86,,,10.2,WACC vs ROIC,19.68,1.57,15,15,3.75,1.56,6/9,,,,,1.04,1.14,,,5.76,,2.53,,1.62,0.54,2.31,6.04,4.89,10.76,,3.7,Beneish M-Score,2.97,22.73,ROIC,,8
792,ETRN,0.74,51.05,-19.3,-7,-30.1,-18.5,1.7,211,-21.2,56.91,6.22,76.29,51.84,0.06,,0.23,0.02,0.9,20.48,56.91,61.74,14.14,4.23,Grey,,6.25,78.9,23.74,26.03,12.31,8.9,8.14,8.4,1.27,0.15,6.25,12.63,,,2.11,75.27,1.69,,,-19.64,WACC vs ROIC,50.74,4.36,,,,3.07,5/9,,,,9.45,,,,,5.1,,,0.88,,0.9,-2.56,1.86,1.44,-15.54,,6.62,Beneish M-Score,6.98,,ROIC,,4
793,ETSY,-32.48,29.7,-1.9,,,,,50.1,46,28.99,,-27.57,27.88,1.53,,2.14,0.45,2.81,,150.6,31.48,-4.21,-5.15,Grey,,,-14.39,-16.75,14.41,15.74,11.12,3.05,3.56,-6.95,-0.18,,16.56,24.32,12.51,11.5,70.64,N/A,,N/A,-26.84,WACC vs ROIC,13.98,,,,,3.35,4/9,,,,13.08,,,,,12.52,,,1.67,,2.81,-26.05,-263.71,-29.55,,,25.19,Beneish M-Score,1.32,185.54,ROIC,,5
794,ETV,-12.39,32.4,-8,-6.2,-0.8,,,,,17.05,9.26,3.91,26.91,,,,,,,,,,,,0.72,9.44,,,,,,,7.67,,,9.18,,-1.48,,,,,,,99.34,,,0.94,7.43,7.43,,7.4,,,,,,0.56,,,,,,,,0.94,,13.08,,,13.24,,,,9.41,,,,4
795,ETWO,-29.06,55.48,-74.6,29.9,,,-6.4,,-26.2,67.95,,-6.68,60.58,-0.75,,0.39,0.11,0.94,,38.19,71.12,-1.01,0.49,Grey,,,-1.91,-2.3,55.47,13.06,11.08,3.74,3.77,-52.36,0.56,,18.21,,,,50.31,,,,-147.67,WACC vs ROIC,-4.89,0.69,,,,2.31,4/9,,,,34.42,,,,,18.95,,,,,0.94,-20.53,-1341.79,-29.76,-36.07,,-0.53,Beneish M-Score,-13.61,,ROIC,,
796,ETY,-1.86,42.72,-1.5,-1.4,3.3,,,,,35.47,9,7.33,40.77,,,,,,,,,,,,1.71,8.29,,,,,,,19.31,,,8.08,,0.84,,,,,,,98.57,,,1.01,19.59,19.59,24.49,19.32,,,,,,0.94,,,,,,,,1.01,,5.11,,,5.16,,,,8.92,,,,5
797,EURN,-1.79,39.72,2.1,1.7,,3.4,26.8,,1.6,45.58,16.77,5.09,38.46,2.16,,0.42,0.09,1.66,28.34,52.04,92.62,1.87,0.83,Grey,0.63,16.77,6.76,5.1,14.98,6.55,4.63,3.46,3.73,14.79,0.53,16.77,5.11,2.76,,14.73,49.93,6.28,,,45.49,WACC vs ROIC,47.3,1.51,5.37,5.37,,2.41,8/9,,,,10.04,0.6,0.96,,,5.11,6.64,,1.42,1.52,1.55,14.3,19.07,18.64,27.6,,16.01,Beneish M-Score,11.59,24.5,ROIC,,6
798,EVCM,-8.97,32.91,-63.9,,,,14.2,,-17,27.3,,18.97,30.1,1.51,,0.74,0.16,1.59,,14.23,27.48,5.72,0.62,Grey,,,-157.91,24.39,36.7,,,2.92,3.5,-0.63,0.56,,21.83,,30,16.23,65.34,,,,-8.49,WACC vs ROIC,-2.22,2.08,,,,2.81,6/9,,,,29.39,,,,,22.33,,,,,1.59,-3.5,-120.38,-0.98,-6.11,,-0.99,Beneish M-Score,0.39,,ROIC,,
799,EVEX,-22.86,61.77,-0.6,,,-122.6,-186.2,-103.5,,82.46,,42.86,70.62,,,4.78,,7.02,,,,,,,,,-18.92,-18.94,-23.06,,-24.36,,,-5.29,,,,,,,,,,,,,,10.26,,,,,,,,,,,,16.33,10.26,,,,,10.26,7.02,-36.87,-14129,-37.2,-40.81,,-206.98,,,,,,
800,EVGO,-57.89,46.98,-1.1,-49.5,,-63.7,-3.6,-105.3,46,51.79,,-19.43,48.41,0.65,,3.17,4.82,3.66,,25.71,77.55,-0.6,-0.28,Grey,,,-1.62,-2.42,-0.79,-1.61,-5.44,0.72,1.89,-61.73,-0.23,,,,,95.24,1.11,,,,-33.22,WACC vs ROIC,-139.67,,,,,2.56,N/A/9,,,,,,,,,,,,,,3.66,-5.03,-37.27,-19.75,,,-32.86,Beneish M-Score,-5.51,,ROIC,,
801,EVH,-28.19,46.87,-5.7,-7.6,,,62.1,17.5,20,60.56,,-7.73,51.77,1.25,,0.26,0.21,1.07,,20.42,52.29,-17.33,0.64,Grey,,,-25.21,-86.96,-301.01,15.32,15.74,1.44,2.14,-3.97,0.41,,41.67,,,14.78,24.72,,,,-3.89,WACC vs ROIC,-1.62,2.71,,,,1.67,3/9,,,,,,,,,102.67,,,9.7,,1.07,-3.14,-103.43,-8.7,-6.74,,-0.53,Beneish M-Score,-7.77,,ROIC,,2
802,EVO,10.21,58,-5.5,28.4,,,,21.3,12.6,73.66,,27.34,64.04,2.35,,1.3,No Debt,2.1,26.1,78.56,92.64,,,Grey,,,-48.7,-48.7,174.8,,,4.65,6.01,-2.05,0.51,,20.45,21.25,,7.23,26.88,,,,-15.29,WACC vs ROIC,-2.07,3.41,,,,6.85,4/9,,,,185.31,,1.01,,,19.66,,,3.42,4.54,2.04,-3.92,-11.61,-3.85,-7.35,,-0.91,Beneish M-Score,0.12,135.56,ROIC,,7
803,EVR,44.96,66.95,0.7,21.8,8.2,,19,7.2,13.1,79.54,3.91,16.83,71.43,,,,,,,,,,,,0.34,2.04,,,12.63,9.81,9.41,2.31,2.42,,,2.1,12.58,32,5.89,0.82,,,,,13.85,,,3.95,17.08,17.08,0.72,2.33,,,,,12.4,1.81,1.13,,,11.79,,0.81,0.49,4.34,,11.02,,,24.25,,,,7.27,19.7,,,10
804,EVRG,-16.09,41.88,-0.4,3,6.5,3.5,5.4,,5.8,53.21,6.55,-5.97,45.16,0.72,,0.01,,0.46,79.28,51.85,0.7,5.55,1.35,Grey,0.73,4.53,19.98,10.91,-112.24,16.81,9.96,4.51,4.34,5.01,0.32,4.53,13.85,7.59,5.24,-0.37,46.74,2.83,,,12.97,WACC vs ROIC,22.76,1.3,16.46,16.46,2.39,2.16,4/9,,,,,1.12,0.78,,,6.52,35.94,2,1.68,1.73,0.28,2.56,5.63,4.9,7.99,,4.14,Beneish M-Score,-2.43,17.13,ROIC,,10
805,EVRI,-26.78,61.19,-1.4,57,,6.9,80.7,,6,70.92,,-22.82,66.03,1.49,,0.45,0.22,1.13,128.7,79.37,50.04,2.82,4.02,Grey,,,9.81,6,12.46,,5.48,2.27,2.53,10.19,0.14,,,13.27,,5.87,78.77,3.01,,,13.67,WACC vs ROIC,25.83,5.41,12.76,12.76,8.51,1.72,6/9,,,,8.48,,1.89,,,4.82,9.59,2.46,1.3,,0.97,6.46,148.61,17.17,49.24,,11.4,Beneish M-Score,13.14,,ROIC,,6
806,EVTC,18.25,38.21,3.4,25.1,,21.4,34.8,7.5,10.4,33.46,0.53,19.74,35.23,4.49,,0.96,0.46,1.98,,49.95,65.93,1.16,0.78,Grey,0.06,0.53,9.85,7.52,19.08,,,,4.25,10.15,0.46,0.53,,24.12,,,51.06,5.68,,,35.42,WACC vs ROIC,22,4.58,11.13,11.13,0.61,3.95,5/9,0.36,0.95,,17.64,,0.86,,,11.33,10.33,0.59,0.99,,1.98,19.61,262.57,28.54,45.41,,15.64,Beneish M-Score,3.99,22.19,ROIC,,9
807,EVV,-7.16,40.88,,2,2.4,,29.5,19.6,32.8,37.56,15.48,-3.01,38.55,,,,,,,,,,,,,11.66,,,3.33,,,,-24.18,,,10.25,,15.61,,,,,,,103.21,,,0.87,,,,,,,,,2.6,,,,,2.6,,,0.36,0.87,,-2.75,,,-4.57,,,,26.86,15.54,,,6
808,EW,-15.83,33.29,1,13,,15.5,14.2,2.4,8.1,32.33,,0.48,33.2,13.39,,1.3,2.21,3.15,263.09,55.06,43.48,0.36,0.11,Grey,,,24.78,22.94,64.77,21.97,20.08,6.68,7.79,4.04,0.71,,26.04,20.11,6.05,9.7,79.07,N/A,,N/A,24.56,WACC vs ROIC,31.51,6.96,32.39,32.39,2.15,7.99,5/9,1.33,3.26,,66.31,3.71,0.89,,43.57,48.03,89.39,1.78,2.44,9.56,2.3,16.15,69.76,23.5,22.91,,23.95,Beneish M-Score,0.05,44.91,ROIC,,10
809,EWBC,-26.89,48.48,1.1,7.2,14.9,,19.8,43.1,12.4,61.49,6.61,-4.35,51.76,,,,,,,,,,,,0.2,3.35,,,3.79,,,4.72,2.39,,,3.5,7.22,22.87,1.6,4.96,,,,,49.33,,,1.2,6.15,6.15,0.62,3.04,,0.29,0.18,,4.8,0.59,0.56,,,4.8,5.4,0.69,0.4,1.29,,1.95,,,21.09,,,,-25.35,10.65,,,10
810,EWCZ,0.79,57.33,-13.5,-44.4,,-21.4,,,0.7,81.93,,7.47,66.06,1.02,,1.96,0.14,3.67,135.01,35.49,13.24,42.28,3.82,Grey,,,-109.57,136.61,25.99,,,,5.65,-0.91,0.13,,,,,,70.71,1.57,,,3.53,WACC vs ROIC,19.95,9.14,107.04,107.04,,4.43,7/9,,,,19.33,,,,,19.03,,,,,2.82,1.11,-38.2,-1.7,9.45,,-2.14,Beneish M-Score,-16.02,,ROIC,,2
811,EXAS,110.37,34.59,-6.4,3.3,,3.4,-29.8,-4.7,21,23.03,,33.65,30.83,2.07,,1.59,0.3,2.41,72.28,46.08,28.41,-11.8,0.84,Grey,,,-37.99,-72.69,-145.59,-254.07,101.54,5.54,6.86,-2.63,0.48,,,,,15.51,73.53,,,,-18.76,WACC vs ROIC,-17.44,4.52,,,,5.93,5/9,,,,,,0.27,,,189.32,,,,,2.14,-6.82,-48.55,-7.04,-13.95,,-7.45,Beneish M-Score,-0.63,,ROIC,,
812,EXC,-8.44,63.65,-0.7,-9.1,-2.4,-13.8,-11.6,-56.2,-18.2,77.52,3.62,-5.38,70.5,0.74,,0.05,0.01,0.95,22.06,87.01,36.64,5.34,1.7,Grey,0.65,3.4,20.94,10.49,-21.32,19.55,10.45,4.21,4.21,4.78,0.26,3.46,16.53,-11.31,6.74,-5.68,41.82,2.22,,,10.66,WACC vs ROIC,17.75,1.65,19.65,19.65,,2.08,7/9,,,,,1.4,2.49,,,12.21,,,18.43,2.25,0.86,2.23,5.78,4.62,8.61,,3.35,Beneish M-Score,-1.96,15.04,ROIC,,10
813,EXEL,25.86,52.17,-2,11.6,,-17,-18.1,-24.9,17.3,32.88,,21.12,44.89,8.17,,3.73,6.51,4.68,174.95,163.71,48.2,1.18,0.08,Grey,,,42.73,36.41,28.3,13.51,13.59,2.81,3.52,2.34,0.8,,17.89,-9.3,17.76,12.05,96.31,N/A,,N/A,9.58,WACC vs ROIC,8.24,2.76,42.76,42.76,,4.16,3/9,,,,33.45,2.32,0.41,10.69,7.15,18.26,105.35,,1.11,2.83,4.6,5.4,48.55,5.19,6.59,,7.29,Beneish M-Score,-1.7,87.24,ROIC,,6
814,EXG,-4.4,41.39,-0.4,-3.5,2.5,,,,,41.94,7.65,6.39,41.25,,,,,,,,,,,,1.63,9.01,,,,,,,16.59,,,8.65,,-1.11,,,,,,,98.5,,,0.89,16.82,16.82,,16.48,,,,,,0.82,,,,,,,,0.89,,5.36,,,5.41,,,,9.54,,,,4
815,EXLS,-18.5,51.33,0.9,5.2,,17.2,29.4,-0.9,13.5,48.46,,-8.02,52.19,8.55,,0.97,0.88,2.37,,1.66,63.09,0.93,0.34,Grey,,,21.06,15.92,37.39,,,2.65,3.17,4.75,0.61,,3.67,22.52,14,14.92,36.92,18.03,,,11.11,WACC vs ROIC,14.62,1.16,28.69,28.69,1.43,3.19,8/9,1.53,2.03,,37.56,1.82,1.24,,11.41,27.79,62.03,1.31,2.04,2.59,2.37,12.93,98.87,22.11,22.68,,19.62,Beneish M-Score,15.52,54.89,ROIC,,10
816,EXP,61.48,38.11,4.9,12.6,49.4,28.8,31.6,22.6,20.4,23.94,1.36,39.9,33.21,4.49,,0.23,0.05,2.68,62.32,26.7,36.15,1.5,0.96,Grey,0.08,0.57,11.5,9.44,17.45,,,,3.41,8.7,0.43,0.57,12.74,25.31,,,30.36,15.03,,,21.82,WACC vs ROIC,27.92,4.98,13.27,13.27,0.67,2.91,9/9,0.42,0.48,,14.88,2.21,0.85,,,11.39,13.7,0.62,0.98,8.25,1.36,17.04,33.17,25.13,40.66,,18.89,Beneish M-Score,2.4,28.01,ROIC,,10
817,EXPD,18.75,56.09,3.1,15.9,10.2,35.4,34.6,44,31.6,77.69,1.8,8.98,64.06,10.4,,1.08,3.22,2.21,,42.31,65.59,0.35,0.21,Grey,0.2,1.15,11.15,10.71,9.04,16.75,15.21,1.71,1.29,8.97,0.56,1.17,22.78,25.02,-4.59,,13.51,54.62,,,8.36,WACC vs ROIC,10.93,6.82,17.76,17.76,0.69,1.48,6/9,0.66,0.39,,10.41,2.32,0.96,,11.82,10.1,10.28,0.71,1.16,6.84,2.21,17.93,92.44,40.71,33.38,,48.81,Beneish M-Score,16.1,25.42,ROIC,,10
818,EXPE,-0.33,45.36,-2.4,-18.8,,-7.1,-16.8,17,-3.6,40.82,,17.12,44.08,0.9,,0.41,0.96,0.83,,580.84,69.48,2.84,3.72,Grey,,,11.08,6.74,6.71,9.98,5.32,1.12,1.27,9.03,0.07,,9.05,6.8,16.42,8.26,86.23,5.12,,,7.33,WACC vs ROIC,10.24,8.78,18.82,18.82,,1.37,8/9,,,,6.75,,0.66,,,5.13,8.05,,1.28,,0.83,3.78,54.36,13.24,44.72,,3.94,Beneish M-Score,25.45,209.63,ROIC,,9
819,EXPI,80.05,27.09,-5.1,60.1,,,,47.5,55.9,10.83,1.04,81.8,18.79,16.4,,0.56,3897.31,1.59,,0.8,10.24,,,Grey,3.6,1.06,-2068.16,272.65,13.46,,,,0.61,-0.05,0.53,1.15,,,,,8.12,N/A,,N/A,0.19,WACC vs ROIC,-0.03,10.42,348,348,,0.64,5/9,,,,14.45,13.81,0.29,,20.47,13.82,534.9,,1.34,12.25,1.59,1.81,-4.47,-0.49,3.18,,-5.36,Beneish M-Score,7.17,580,ROIC,,4
820,EXPO,-4.14,59.45,0.7,-2.2,14.5,18.4,8.6,-0.3,8.2,77.56,2.49,-16.24,66.34,14.66,,1.19,5.15,2.77,,,81.17,0.23,0.08,Grey,0.51,1.11,38.51,36.14,52.43,31.48,29.52,8.35,8.48,2.6,0.59,1.13,41.32,13.21,,4.88,,N/A,,N/A,19.03,WACC vs ROIC,22.02,13.08,46.62,46.62,3.98,8.85,7/9,2.37,3.41,,54.89,5.27,1.22,,47.83,45.82,68.82,4.12,3.4,13.39,2.77,17.66,115.86,26.48,30.36,,27.83,Beneish M-Score,0.98,61.23,ROIC,,10
821,EXR,-30.92,45.61,-1.1,7.5,19,16.9,25.5,18.7,12.3,60.97,6.88,-18.17,51.4,2.41,,0.09,0.01,1.46,,135.94,15.81,5.12,2.37,Grey,1.18,3.8,28.7,22.81,28.42,20.59,17.28,14.68,17.02,3.48,0.26,1.91,15.38,17.62,1.73,8.74,75.4,3.64,,,40.78,WACC vs ROIC,53.29,5.31,20.89,20.89,1.97,9.02,4/9,0.75,0.69,16.12,15.12,2.35,0.79,,,14.88,15.97,1.68,1.27,5.92,1.46,6.92,279.06,10.54,25.39,,8.88,Beneish M-Score,-2.88,30.27,ROIC,,10
822,EXTR,143.79,30.98,-2,172.8,,,,117.1,7.5,12.7,,88.52,23.44,2.27,,0.41,0.89,1,42.42,59.06,46.47,1.81,2.27,Grey,,,28.53,21.73,13.51,12.19,10.62,2.06,2.42,3.51,0.1,,15.29,,17,14.31,57.5,6.42,,,5.95,WACC vs ROIC,8.5,26.22,41.14,41.14,,2.46,8/9,,,,13.54,,2.44,,,12.83,19.1,,3.31,,0.85,7.23,136.16,20.17,77.23,,9.9,Beneish M-Score,2.07,,ROIC,,3
823,EYE,-44.95,22.99,0.3,5.4,,2.8,9.1,-55.2,5.8,12.97,,2.18,18.04,1.78,,0.7,0.25,1.36,47.23,26.17,10.39,7.13,1.12,Grey,,,47.71,14.55,66.44,213.71,16.18,0.99,1.01,2.1,0.39,,41.49,14.79,,2.27,53.46,5.34,,,1.27,WACC vs ROIC,2.42,1.42,51.66,51.66,7.83,0.66,6/9,,,,52.25,,,,,9.72,39.21,5.23,0.95,,1.03,1.14,5.86,2.24,2.9,,1.62,Beneish M-Score,-1.06,,ROIC,,8
