,Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year
2302,UWMC,56.4,42.68,3.5,,,,-51.8,,24.3,48.29,7.43,31.07,43.34,,,,,,,,,,,,5.71,7.41,,,-1.83,,,1.45,4.47,,,7.41,15.87,,,-8.37,,,,,0.58,,,4.12,108,108,,0.41,,,,,,,,,,,,,,,,0.06,,,5.25,,,,384.69,,,,4
2303,V,22.76,44.33,1,5.4,14.5,8.9,9.6,16.5,10.7,21.59,1.67,10.84,36.51,7.55,,0.88,0.91,1.49,,15.79,24.21,0.94,0.53,Grey,0.22,0.75,24.21,23.19,27.02,20.38,19.62,13.87,15.89,4.13,0.44,0.75,24.39,13.4,15.87,11.05,79.85,34.42,,,51.94,WACC vs ROIC,67.04,13.44,30.59,30.59,2.91,15.92,8/9,1,0.9,,27.11,,1.03,,,25.65,78.79,2.85,2.2,,1.49,19.12,639.43,31.51,44.55,,25.5,Beneish M-Score,3.33,47.55,ROIC,,10
2304,VAC,-23.18,36.66,3.4,-2.8,10.9,18,41.6,10.2,2.5,40.95,2.76,-16.78,37.64,1.51,,0.22,0.05,3.32,87.81,32.06,12.6,5.94,2.03,Grey,0.32,2.71,12.07,10.17,38.04,6.04,8.29,1.62,1.8,8.29,0.26,2.81,8.75,6.95,,6.54,41.74,5.97,,,7.81,WACC vs ROIC,16.34,1.51,11.8,11.8,,0.95,7/9,,,,19.66,,0.6,,,13.48,11.46,,1.08,,2.73,3.95,60.82,8.86,14.59,,5.96,Beneish M-Score,0.23,30.19,ROIC,,9
2305,VAL,25.6,56.13,-0.1,,,-28.5,,46.1,-8.2,61.78,,18.79,57.43,3,,1.19,1.14,2.2,,70.78,79.77,2.46,0.55,Grey,,,27.44,19.53,42.64,53.05,29.02,3.27,3.21,3.64,0.41,,,,,,10.55,1.74,,,7.04,WACC vs ROIC,5.08,4.54,47.9,47.9,,3.41,7/9,,,,46.19,3.11,,,,16.16,,,,4.54,2.2,4.17,19.63,8.6,9.68,,4.24,Beneish M-Score,4.77,,ROIC,,1
2306,VALE,-5.98,62.23,4.4,9.4,77.3,79.3,325.4,-0.5,19.2,73.81,45.19,-20.43,67.45,1.8,,0.37,0.31,1.15,74.85,67.3,25.98,0.9,0.42,Grey,0.45,5.14,5.17,4.24,12.67,6.25,4.76,1.89,1.82,19.34,0.42,5.14,7.26,34.96,-19.1,-7.26,39.11,14.92,,,27.63,WACC vs ROIC,34.2,1.61,5.92,5.91,0.16,1.58,3/9,,,,11.13,0.74,0.94,,,5.7,6.72,0.22,0.38,2.24,0.76,12.88,31.55,19.43,30.72,,15.19,Beneish M-Score,16.46,12.14,ROIC,,8
2307,VBTX,-33.04,45.74,-1.9,4.8,17,,17.3,25,10.3,63.75,4.28,4.56,49.61,,,,,,,,,,,,0.28,4.29,,,10.02,,,,4.02,,,4.29,,20.24,,,,,,,32.82,,,0.68,6.57,6.57,1.1,2.14,,0.21,0.17,,5.34,0.53,,,,5.27,6.43,1.15,0.38,0.97,,1.29,,,10.68,,,,-46.05,10.66,,,10
2308,VC,10.48,46.16,-0.2,11.8,,10.3,20,27.6,8.1,49.89,,-9.79,47.45,5.02,,0.5,0.97,1.75,34.03,59.91,60.91,1.43,0.67,Grey,,,17.77,11.77,20.96,9.83,7.55,0.9,0.96,5.63,0.3,,14.16,2.88,,8.79,10.69,14.19,,,3.27,WACC vs ROIC,5.62,5.53,30.03,30.03,,1,8/9,,,,21.35,2.9,0.9,,,14.03,29.54,,3.33,6.31,1.39,5.67,33.05,15.67,20.71,,13.61,Beneish M-Score,0.44,14.29,ROIC,,8
2309,VCEL,22.52,51.86,-1.7,18,,-11.3,-16.7,,9.3,46.6,,3.66,51.82,8.29,,2.75,1.17,5.14,97.64,75.52,78.32,-11.2,0.42,Grey,,,-142.67,-226.64,125.02,,,6.59,9.47,-0.7,0.64,,200,,,19.01,67.31,,,,-7.39,WACC vs ROIC,-8.33,8.2,,,,9.11,5/9,,,,120.27,,1.33,,23.01,55.73,,,7.72,8.51,4.75,-4.91,-11.29,-4.98,-7.02,,-11.14,Beneish M-Score,-0.66,,ROIC,,1
2310,VCTR,22.17,45.45,0.2,25.8,115.4,34.7,44.6,14.7,12.4,32.76,3.66,12.68,41.26,1.97,,0.15,0.04,0.48,,55.37,37.7,2.49,0.94,Grey,0.35,3.65,8.9,7.93,10.28,,,3.56,3.87,11.24,0.41,3.86,6.45,30.93,,2.28,57.42,5.38,,,28.36,WACC vs ROIC,41.74,2.08,10.07,10.07,0.34,2.88,6/9,,,,7.68,,,,,7.55,7.82,0.4,0.51,,0.48,9.05,1595.05,15.74,21.93,,11.2,Beneish M-Score,10.68,,ROIC,,7
2311,VCYT,27.7,44.39,-13.2,45.8,,5.2,-23.6,52.4,16.7,35.69,,9.25,41.79,13.95,,3.29,12.86,4.46,45.35,41.55,47.18,-6.76,0.01,Grey,,,-58,-754.53,72.01,,,,5.05,-1.72,0.93,,,,,,66.91,,,,-8.84,WACC vs ROIC,-10.2,1.68,,,,5.64,7/9,,2.51,,79.93,,0.9,16.16,10.06,58.71,,,2.57,8.29,4.26,-2.53,-61.03,-2.62,-2.72,,-3.56,Beneish M-Score,0.18,,ROIC,,
