,GF Value,Ticker,Price,Market Capitalization,Sector,Industry,GFValuediff
120,0.0,WCC/PA,26.59,8958724104.0,Distribution Services,Wholesale Distributors,-100.0
121,151.81,WCC,175.75,8976600691.436716,Distribution Services,Wholesale Distributors,-13.621621621621621
122,0.0,WBS/PG,22.9237,9281468935.0,Finance,Savings Banks,-100.0
123,0.0,WBS/PF,18.33,9281468935.0,Finance,Savings Banks,-100.0
124,57.62,WBS,51.185,9355494041.708843,Finance,Savings Banks,12.572042590602706
125,16.67,WBD,11.5,28043504690.25239,Consumer Services,Cable/Satellite TV,44.95652173913045
126,44.18,WBA,26.1,22502558034.980816,Health Technology,Pharmaceuticals: Major,69.27203065134098
127,19.92,WB,10.5,2388939195.392,Technology Services,Internet Software/Services,89.71428571428574
128,355.17,WAT,331.99,19629565277.163265,Health Technology,Medical Specialties,6.98213801620531
129,0.0,WALD,11.47,1401084827.5162995,Consumer Non-Durables,Household/Personal Care,-100.0
130,0.0,WAL/PA,18.03,7111411548.0,Finance,Regional Banks,-100.0
131,103.51,WAL,65.65,7186948400.957513,Finance,Regional Banks,57.66945925361767
132,0.0,WAFDP,15.34,2072736974.0,Finance,Major Banks,-100.0
133,43.21,WAFD,32.47,2083646115.9684207,Finance,Major Banks,33.076686171850945
134,87.61,WABC,56.63,1509134815.2359552,Finance,Regional Banks,54.70598622638177
135,112.63,WAB,127.0,22753212163.975647,Producer Manufacturing,Trucks/Construction/Farm Machinery,-11.314960629921263
136,68.17,W,68.5101,8080606708.777036,Retail Trade,Specialty Stores,-0.49642315512602164
137,7.91,VZIO,7.51,1481093121.7194147,Technology Services,Internet Software/Services,5.326231691078567
138,49.92,VZ,37.565,157927076482.56354,Communications,Wireless Telecommunications,32.88965792626116
139,16.81,VYX,16.52,2332623971.122363,Electronic Technology,Electronic Equipment/Instruments,1.7554479418886146
140,40.64,VVX,46.24,1442293261.5731122,Commercial Services,Miscellaneous Commercial Services,-12.110726643598618
141,58.07,VVV,38.025,4942758958.339483,Consumer Services,Other Consumer Services,52.71531886916503
142,9.82,VTRS,10.725,12866471234.3169,Health Technology,Pharmaceuticals: Major,-8.438228438228434
143,53.38,VTR,49.805,20445709054.0,Finance,Real Estate Investment Trusts,7.177994177291442
144,22.01,VTMX,39.53,3305204638.068688,Finance,Real Estate Development,-44.32076903617506
145,50.97,VTLE,46.4199,1278454521.3271952,Energy Minerals,Oil & Gas Production,9.802046105226424
146,0.0,VTEX,6.7,1266249866.3473053,Technology Services,Information Technology Services,-100.0
147,0.0,VSTS,20.65,2699477469.879518,Consumer Non-Durables,Apparel/Footwear,-100.0
148,31.62,VSTO,29.21,1696275216.293156,Consumer Durables,Recreational Products,8.250599109893871
149,33.26,VST,37.87,13540507354.704683,Utilities,Electric Utilities,-12.173224188011618
150,24.63,VSH,24.13,3338047874.2072563,Electronic Technology,Electronic Production Equipment,2.0721094073767095
151,41.01,VSEC,64.05,1008613853.8897576,Industrial Services,Engineering & Construction,-35.97189695550352
152,0.0,VSCO,28.1876,2182705219.374432,Retail Trade,Apparel/Footwear Retail,-99.99999999999999
153,41.68,VSAT,26.73,3328079320.173018,Electronic Technology,Telecommunications Equipment,55.92966704077815
154,343.88,VRTX,404.36,104196778817.60518,Health Technology,Pharmaceuticals: Major,-14.956969037491348
155,216.47,VRTS,237.25,1704638594.524649,Finance,Investment Managers,-8.758693361433087
156,25.92,VRT,48.655,18559036775.41396,Electronic Technology,Electronic Production Equipment,-46.726955091974105
157,244.28,VRSN,205.09,20939689375.152405,Technology Services,Internet Software/Services,19.108683992393583
158,244.75,VRSK,236.19,34244374099.27041,Technology Services,Data Processing Services,3.624200855243661
159,20.43,VRRM,22.95,3816897724.9072847,Transportation,Other Transportation,-10.980392156862743
160,47.47,VRNT,27.62,1740487223.3949945,Technology Services,Information Technology Services,71.86821144098478
161,40.91,VRNS,45.36,4942110735.735347,Technology Services,Information Technology Services,-9.810405643738983
162,0.0,VRNA,17.0,1308617978.0,Health Technology,Pharmaceuticals: Major,-100.0
163,20.06,VRE,15.98,1456177909.0,Finance,Real Estate Investment Trusts,25.53191489361701
164,0.39,VRDN,22.43,1179504935.1380436,Health Technology,Pharmaceuticals: Major,-98.26125724476148
165,0.0,VOYA/PB,23.2,7730632172.0,Finance,Life/Health Insurance,-100.0
166,80.15,VOYA,74.23,7754659812.534594,Finance,Life/Health Insurance,7.975212178364545
167,16.05,VOD,8.81,23700762360.344,Communications,Wireless Telecommunications,82.17934165720771
168,30.11,VNT,34.505,5325076802.72569,Transportation,Other Transportation,-12.737284451528772
169,37.0,VNOM,31.935,5679774351.858693,Energy Minerals,Integrated Oil,15.860341318302806
170,0.0,VNO/PO,13.35,5622104575.0,Finance,Real Estate Investment Trusts,-100.0
171,0.0,VNO/PN,15.45,5622104575.0,Finance,Real Estate Investment Trusts,-100.0
172,0.0,VNO/PM,15.17,5622104575.0,Finance,Real Estate Investment Trusts,-100.0
173,0.0,VNO/PL,15.67,5622104575.0,Finance,Real Estate Investment Trusts,-100.0
174,39.53,VNO,30.13,5622104575.0,Finance,Real Estate Investment Trusts,31.198141387321616
175,310.56,VMI,230.1,4806929289.190503,Producer Manufacturing,Metal Fabrication,34.96740547588006
176,232.45,VMC,223.57,29706505390.159668,Non-Energy Minerals,Construction Materials,3.9719103636444943
177,0.0,VLYPP,19.885,5528679828.0,Finance,Major Banks,-100.0
178,0.0,VLYPO,23.7868,5528679828.0,Finance,Major Banks,-100.0
179,13.02,VLY,10.97,5569294555.845731,Finance,Major Banks,18.68732907930719
180,0.0,VLTO,80.75,19889376493.827045,Technology Services,Information Technology Services,-100.0
181,21.73,VLRS,9.29,1017080493.69196,Transportation,Airlines,133.90742734122716
182,141.06,VLO,133.57,45474298817.32467,Energy Minerals,Oil Refining/Marketing,5.6075466047765286
183,0.0,VKTX,18.7,1870541454.813992,Health Technology,Pharmaceuticals: Major,-100.0
184,10.72,VIV,10.91,17962757880.0908,Communications,Specialty Telecommunications,-1.7415215398716728
185,16.51,VIST,30.1,2900619249.667336,Energy Minerals,Oil & Gas Production,-45.14950166112956
186,14.4,VIRT,20.68,3291771792.428294,Finance,Investment Banks/Brokers,-30.367504835589937
187,3.36,VIR,10.16,1366736313.4883718,Health Technology,Biotechnology,-66.92913385826773
188,16.41,VIPS,16.94,9275992871.0,Retail Trade,Internet Retail,-3.1286894923258624
189,80.24,VICR,45.1051,2004934259.1962807,Electronic Technology,Electronic Components,77.89562599351291
190,40.55,VICI,31.505,32504998802.0,Finance,Real Estate Investment Trusts,28.70972861450563
191,12.95,VIAV,9.88,2197258361.0961146,Technology Services,Information Technology Services,31.072874493927106
