AveragePriceTarget,SmartScore,Ticker,Price,Market Capitalization,Sector,Industry,AveragePriceTarget_percent
154.0,7.0,RLI,131.79,6013020639.647288,Finance,Multi-Line Insurance,16.852568480157835
24.83,2.0,RLAY,11.055,1362736009.6742563,Health Technology,Biotechnology,124.6042514699231
138.64,7.0,RL,145.165,9477525274.507875,Consumer Non-Durables,Apparel/Footwear,-4.49488513071333
8.9,3.0,RKT,14.945,29625124063.833557,Finance,Finance/Rental/Leasing,-40.44831047172968
7.71,10.0,RKLB,5.1763,2515096746.063454,Electronic Technology,Aerospace & Defense,48.94809033479511
110.17,5.0,RJF/PB,24.96,23157437511.0,Finance,Investment Managers,341.38621794871796
110.17,5.0,RJF,111.505,23260697862.03094,Finance,Investment Managers,-1.1972557284426653
25.63,5.0,RIVN,23.64,22644580473.501274,Consumer Durables,Motor Vehicles,8.417935702199655
11.79,8.0,RITM/PD,22.32,5320186804.0,Finance,Real Estate Investment Trusts,-47.17741935483871
11.79,8.0,RITM/PC,21.4197,5320186804.0,Finance,Real Estate Investment Trusts,-44.957212285886364
11.79,8.0,RITM/PB,23.39,5320186804.0,Finance,Real Estate Investment Trusts,-49.59384352287303
11.79,8.0,RITM/PA,24.0,5320186804.0,Finance,Real Estate Investment Trusts,-50.875
11.79,8.0,RITM,11.065,5320186804.0,Finance,Real Estate Investment Trusts,6.552191595119744
17.26,8.0,RIOT,16.76,3461198550.266269,Technology Services,Information Technology Services,2.9832935560859184
9.6,8.0,RIG,6.28,5080713764.166667,Industrial Services,Contract Drilling,52.86624203821655
113.33,10.0,RHP,110.11,6503449701.0,Finance,Real Estate Investment Trusts,2.9243483788938325
67.71,4.0,RHI,87.44,9259454471.307072,Commercial Services,Personnel Services,-22.564043915828
293.79,1.0,RH,305.555,5567032948.550653,Retail Trade,Specialty Stores,-3.8503706370375173
142.75,8.0,RGLD,123.9,8139240979.411475,Non-Energy Minerals,Precious Metals,15.2138821630347
190.13,6.0,RGEN,183.43,10241265787.813663,Health Technology,Pharmaceuticals: Major,3.6526195278852907
176.38,8.0,RGA,162.86,10733413595.965168,Finance,Multi-Line Insurance,8.30160874370624
18.54,6.0,RF/PE,17.58,17801442411.0,Finance,Major Banks,5.460750853242327
18.54,6.0,RF/PC,21.5756,17801442411.0,Finance,Major Banks,-14.069597137507193
18.54,6.0,RF/PB,23.1,17801442411.0,Finance,Major Banks,-19.74025974025975
18.54,6.0,RF,19.3,17950252796.880875,Finance,Major Banks,-3.937823834196899
29.19,6.0,REYN,26.76,5619847228.837627,Consumer Non-Durables,Household/Personal Care,9.080717488789237
